"","pathway","description","genes_in_pathway","matches","%_match","pValue","adj.pValue","overlap"
"abolished prestalk gene expression","abolished prestalk gene expression","""abolished prestalk gene expression""","2","1","50","0.0158497835307296","0.257075757266712","8628117"
"abolished stalk development","abolished stalk development","""abolished stalk development""","2","1","50","0.0158497835307296","0.257075757266712","8617212"
"decreased prestalk A cell differentiation","decreased prestalk A cell differentiation","""decreased prestalk A cell differentiation""","2","1","50","0.0158497835307296","0.257075757266712","8628117"
"decreased protein localization to phagocytic vesicle","decreased protein localization to phagocytic vesicle","""decreased protein localization to phagocytic vesicle""","2","1","50","0.0158497835307296","0.257075757266712","8617301"
"increased standing slug length","increased standing slug length","""increased standing slug length""","2","1","50","0.0158497835307296","0.257075757266712","8621449"
"aberrant Golgi localization","aberrant Golgi localization","""aberrant Golgi localization""","3","1","33.33","0.0236820166584311","0.298336777943184","8626891"
"aberrant autophagic cell death","aberrant autophagic cell death","""aberrant autophagic cell death""","3","1","33.33","0.0236820166584311","0.298336777943184","8623560"
"aberrant centrosome localization","aberrant centrosome localization","""aberrant centrosome localization""","3","1","33.33","0.0236820166584311","0.298336777943184","8626891"
"aberrant establishment or maintenance of cell polarity","aberrant establishment or maintenance of cell polarity","""aberrant establishment or maintenance of cell polarity""","3","1","33.33","0.0236820166584311","0.298336777943184","8626891"
"aberrant stream morphology","aberrant stream morphology","""aberrant stream morphology""","73","3","4.11","0.0199838166261079","0.298336777943184","8616495,8628675,8628957"
"abolished protein binding","abolished protein binding","""abolished protein binding""","3","1","33.33","0.0236820166584311","0.298336777943184","8615885"
"abolished response to DIF-1","abolished response to DIF-1","""abolished response to DIF-1""","3","1","33.33","0.0236820166584311","0.298336777943184","8628117"
"decreased cell motility","decreased cell motility","""decreased cell motility""","78","3","3.85","0.0237772168887049","0.298336777943184","8615885,8617212,8617301"
"decreased glycogen level","decreased glycogen level","""decreased glycogen level""","3","1","33.33","0.0236820166584311","0.298336777943184","8621274"
"decreased standing slug width","decreased standing slug width","""decreased standing slug width""","3","1","33.33","0.0236820166584311","0.298336777943184","8621449"
"delayed culmination","delayed culmination","""delayed culmination""","29","2","6.9","0.0219779142575961","0.298336777943184","8621274,8623096"
"delayed prespore gene expression","delayed prespore gene expression","""delayed prespore gene expression""","3","1","33.33","0.0236820166584311","0.298336777943184","8625513"
"aberrant response to UV","aberrant response to UV","""aberrant response to UV""","4","1","25","0.0314531072957741","0.337359941156287","8623104"
"decreased gene expression","decreased gene expression","""decreased gene expression""","86","3","3.49","0.030605097161732","0.337359941156287","8620128,8622088,8624635"
"decreased prestalk O cell differentiation","decreased prestalk O cell differentiation","""decreased prestalk O cell differentiation""","4","1","25","0.0314531072957741","0.337359941156287","8628117"
"decreased protein stabilization","decreased protein stabilization","""decreased protein stabilization""","4","1","25","0.0314531072957741","0.337359941156287","8626671"
"decreased spore size","decreased spore size","""decreased spore size""","4","1","25","0.0314531072957741","0.337359941156287","8628675"
"precocious development of tipped mound","precocious development of tipped mound","""precocious development of tipped mound""","4","1","25","0.0314531072957741","0.337359941156287","8625513"
"precocious prespore gene expression","precocious prespore gene expression","""precocious prespore gene expression""","4","1","25","0.0314531072957741","0.337359941156287","8625513"
"precocious prestalk gene expression","precocious prestalk gene expression","""precocious prestalk gene expression""","4","1","25","0.0314531072957741","0.337359941156287","8625513"
"precocious spore germination","precocious spore germination","""precocious spore germination""","4","1","25","0.0314531072957741","0.337359941156287","8620782"
"aberrant cell-cell adhesion","aberrant cell-cell adhesion","""aberrant cell-cell adhesion""","5","1","20","0.0391635234654955","0.37744555223992","8621449"
"abolished actin filament polymerization","abolished actin filament polymerization","""abolished actin filament polymerization""","5","1","20","0.0391635234654955","0.37744555223992","8617301"
"abolished autophagic cell death","abolished autophagic cell death","""abolished autophagic cell death""","5","1","20","0.0391635234654955","0.37744555223992","8623560"
"abolished vegetative growth","abolished vegetative growth","""abolished vegetative growth""","38","2","5.26","0.0363714713774698","0.37744555223992","8620083,8625513"
"increased basal disc size","increased basal disc size","""increased basal disc size""","5","1","20","0.0391635234654955","0.37744555223992","8627992"
"increased chemotaxis to folate","increased chemotaxis to folate","""increased chemotaxis to folate""","5","1","20","0.0391635234654955","0.37744555223992","8625513"
"increased prespore gene expression","increased prespore gene expression","""increased prespore gene expression""","5","1","20","0.0391635234654955","0.37744555223992","8626513"
"aberrant cell morphology","aberrant cell morphology","""aberrant cell morphology""","43","2","4.65","0.0455635415773141","0.404300392681472","8621274,8626671"
"aberrant prespore gene expression","aberrant prespore gene expression","""aberrant prespore gene expression""","6","1","16.67","0.0468137296789073","0.404300392681472","8628117"
"abolished autophagosome organization","abolished autophagosome organization","""abolished autophagosome organization""","6","1","16.67","0.0468137296789073","0.404300392681472","8623560"
"decreased bleb assembly","decreased bleb assembly","""decreased bleb assembly""","6","1","16.67","0.0468137296789073","0.404300392681472","8615885"
"decreased cell migration to prestalk region","decreased cell migration to prestalk region","""decreased cell migration to prestalk region""","6","1","16.67","0.0468137296789073","0.404300392681472","8625513"
"decreased rate of endocytosis","decreased rate of endocytosis","""decreased rate of endocytosis""","6","1","16.67","0.0468137296789073","0.404300392681472","8620083"
"increased number of mounds","increased number of mounds","""increased number of mounds""","6","1","16.67","0.0468137296789073","0.404300392681472","8628675"
"increased stalk width","increased stalk width","""increased stalk width""","6","1","16.67","0.0468137296789073","0.404300392681472","8628675"
"aberrant prestalk cell differentiation","aberrant prestalk cell differentiation","""aberrant prestalk cell differentiation""","7","1","14.29","0.0544041869617093","0.446651658389342","8628117"
"aberrant sporulation","aberrant sporulation","""aberrant sporulation""","7","1","14.29","0.0544041869617093","0.446651658389342","8622088"
"delayed prestalk gene expression","delayed prestalk gene expression","""delayed prestalk gene expression""","7","1","14.29","0.0544041869617093","0.446651658389342","8625513"
"increased chemotaxis to cAMP","increased chemotaxis to cAMP","""increased chemotaxis to cAMP""","7","1","14.29","0.0544041869617093","0.446651658389342","8623344"
"aberrant cell motility","aberrant cell motility","""aberrant cell motility""","8","1","12.5","0.0619353528796127","0.49622903210774","8628675"
"decreased positive regulation of GTPase activity","decreased positive regulation of GTPase activity","""decreased positive regulation of GTPase activity""","8","1","12.5","0.0619353528796127","0.49622903210774","8617301"
"decreased lateral pseudopodium retraction","decreased lateral pseudopodium retraction","""decreased lateral pseudopodium retraction""","9","1","11.11","0.0694076815637823","0.54947747904661","8615885"
"development arrests at mound stage","development arrests at mound stage","""development arrests at mound stage""","56","2","3.57","0.0728318180055424","0.569801870278655","8620464,8626513"
"aberrant stalk morphogenesis","aberrant stalk morphogenesis","""aberrant stalk morphogenesis""","10","1","10","0.0768216237360949","0.594027671912827","8626891"
"aberrant defense response to bacterium","aberrant defense response to bacterium","""aberrant defense response to bacterium""","11","1","9.09","0.0841776267342136","0.63611502020741","8620966"
"increased prestalk cell differentiation","increased prestalk cell differentiation","""increased prestalk cell differentiation""","11","1","9.09","0.0841776267342136","0.63611502020741","8620128"
"aberrant aggregation","aberrant aggregation","""aberrant aggregation""","62","2","3.23","0.0868124840779043","0.648655077660746","8620128,8620464"
"aberrant cellular metabolic process","aberrant cellular metabolic process","""aberrant cellular metabolic process""","12","1","8.33","0.0914761345364846","0.668479444689695","8627467"
"development arrests at tipped mound stage","development arrests at tipped mound stage","""development arrests at tipped mound stage""","12","1","8.33","0.0914761345364846","0.668479444689695","8620464"
"aberrant hyperosmotic response","aberrant hyperosmotic response","""aberrant hyperosmotic response""","13","1","7.69","0.0987175877866542","0.691023114506579","8627467"
"aberrant protein localization","aberrant protein localization","""aberrant protein localization""","13","1","7.69","0.0987175877866542","0.691023114506579","8626891"
"decreased spore cell differentiation","decreased spore cell differentiation","""decreased spore cell differentiation""","13","1","7.69","0.0987175877866542","0.691023114506579","8622433"
"delayed development of tipped mound","delayed development of tipped mound","""delayed development of tipped mound""","13","1","7.69","0.0987175877866542","0.691023114506579","8625513"
"decreased cAMP level","decreased cAMP level","""decreased cAMP level""","14","1","7.14","0.105902423818402","0.733594914992058","8620128"
"decreased phagocytosis","decreased phagocytosis","""decreased phagocytosis""","71","2","2.82","0.109128980736332","0.748152290615062","8617301,8626671"
"decreased phototaxis","decreased phototaxis","""decreased phototaxis""","15","1","6.67","0.113031076679709","0.75924915143441","8620128"
"increased number of tip-organizers","increased number of tip-organizers","""increased number of tip-organizers""","15","1","6.67","0.113031076679709","0.75924915143441","8620464"
"abolished chemotaxis to cAMP","abolished chemotaxis to cAMP","""abolished chemotaxis to cAMP""","16","1","6.25","0.120103977157037","0.77542859038281","8617301"
"decreased prestalk gene expression","decreased prestalk gene expression","""decreased prestalk gene expression""","16","1","6.25","0.120103977157037","0.77542859038281","8626513"
"decreased stalk length","decreased stalk length","""decreased stalk length""","16","1","6.25","0.120103977157037","0.77542859038281","8621274"
"delayed development","delayed development","""delayed development""","74","2","2.7","0.116878936321043","0.77542859038281","8617104,8623560"
"increased filopodium formation","increased filopodium formation","""increased filopodium formation""","17","1","5.88","0.127121552799343","0.805103167729175","8617301"
"increased vegetative cell size","increased vegetative cell size","""increased vegetative cell size""","17","1","5.88","0.127121552799343","0.805103167729175","8625513"
"decreased catalytic activity","decreased catalytic activity","""decreased catalytic activity""","18","1","5.56","0.134084227941916","0.84118878850353","8627397"
"abolished gene expression","abolished gene expression","""abolished gene expression""","19","1","5.26","0.140992423730044","0.876261325051211","8624635"
"increased number of mound tips","increased number of mound tips","""increased number of mound tips""","20","1","5","0.14784655814251","0.910351492266379","8620464"
"aberrant gene expression","aberrant gene expression","""aberrant gene expression""","22","1","4.55","0.161394299062839","0.984653292447595","8617104"
"aberrant DNA repair","aberrant DNA repair","""aberrant DNA repair""","1","0","0","1","1",""
"aberrant G protein-coupled receptor signaling","aberrant G protein-coupled receptor signaling","""aberrant G protein-coupled receptor signaling""","1","0","0","1","1",""
"aberrant GABA signaling pathway","aberrant GABA signaling pathway","""aberrant GABA signaling pathway""","3","0","0","1","1",""
"aberrant actin cytoskeleton organization","aberrant actin cytoskeleton organization","""aberrant actin cytoskeleton organization""","6","0","0","1","1",""
"aberrant actin filament organization","aberrant actin filament organization","""aberrant actin filament organization""","39","1","2.56","0.268336967589881","1","8626671"
"aberrant actin filament polymerization","aberrant actin filament polymerization","""aberrant actin filament polymerization""","9","0","0","1","1",""
"aberrant activation of GTPase activity","aberrant activation of GTPase activity","""aberrant activation of GTPase activity""","6","0","0","1","1",""
"aberrant activation of adenylate cyclase activity","aberrant activation of adenylate cyclase activity","""aberrant activation of adenylate cyclase activity""","7","0","0","1","1",""
"aberrant adaptation of signaling pathway","aberrant adaptation of signaling pathway","""aberrant adaptation of signaling pathway""","4","0","0","1","1",""
"aberrant autophagy","aberrant autophagy","""aberrant autophagy""","3","0","0","1","1",""
"aberrant binding","aberrant binding","""aberrant binding""","3","0","0","1","1",""
"aberrant bleb assembly","aberrant bleb assembly","""aberrant bleb assembly""","1","0","0","1","1",""
"aberrant calcium-mediated signaling","aberrant calcium-mediated signaling","""aberrant calcium-mediated signaling""","10","0","0","1","1",""
"aberrant catalytic activity","aberrant catalytic activity","""aberrant catalytic activity""","1","0","0","1","1",""
"aberrant cell adhesion","aberrant cell adhesion","""aberrant cell adhesion""","1","0","0","1","1",""
"aberrant cell cycle","aberrant cell cycle","""aberrant cell cycle""","5","0","0","1","1",""
"aberrant cell migration to prestalk region","aberrant cell migration to prestalk region","""aberrant cell migration to prestalk region""","3","0","0","1","1",""
"aberrant cell separation during cytokinesis","aberrant cell separation during cytokinesis","""aberrant cell separation during cytokinesis""","15","0","0","1","1",""
"aberrant cellular component organization","aberrant cellular component organization","""aberrant cellular component organization""","2","0","0","1","1",""
"aberrant cellular homeostasis","aberrant cellular homeostasis","""aberrant cellular homeostasis""","11","0","0","1","1",""
"aberrant cellular localization","aberrant cellular localization","""aberrant cellular localization""","0","0","NaN","1","1",""
"aberrant cellular process","aberrant cellular process","""aberrant cellular process""","10","0","0","1","1",""
"aberrant cellular response to extracellular stimulus","aberrant cellular response to extracellular stimulus","""aberrant cellular response to extracellular stimulus""","8","0","0","1","1",""
"aberrant cellular response to fluid shear stress","aberrant cellular response to fluid shear stress","""aberrant cellular response to fluid shear stress""","5","0","0","1","1",""
"aberrant cellular response to nitrogen starvation","aberrant cellular response to nitrogen starvation","""aberrant cellular response to nitrogen starvation""","5","0","0","1","1",""
"aberrant cellular response to starvation","aberrant cellular response to starvation","""aberrant cellular response to starvation""","0","0","NaN","1","1",""
"aberrant cellular response to stress","aberrant cellular response to stress","""aberrant cellular response to stress""","12","0","0","1","1",""
"aberrant centromere complex assembly","aberrant centromere complex assembly","""aberrant centromere complex assembly""","2","0","0","1","1",""
"aberrant centrosome organization","aberrant centrosome organization","""aberrant centrosome organization""","5","0","0","1","1",""
"aberrant chemotaxis to cAMP","aberrant chemotaxis to cAMP","""aberrant chemotaxis to cAMP""","33","1","3.03","0.232215279905943","1","8628117"
"aberrant chemotaxis to folate","aberrant chemotaxis to folate","""aberrant chemotaxis to folate""","6","0","0","1","1",""
"aberrant chemotaxis","aberrant chemotaxis","""aberrant chemotaxis""","6","0","0","1","1",""
"aberrant chromatin assembly","aberrant chromatin assembly","""aberrant chromatin assembly""","0","0","NaN","1","1",""
"aberrant contractile vacuole discharge","aberrant contractile vacuole discharge","""aberrant contractile vacuole discharge""","3","0","0","1","1",""
"aberrant contractile vacuole localization","aberrant contractile vacuole localization","""aberrant contractile vacuole localization""","2","0","0","1","1",""
"aberrant contractile vacuole morphology","aberrant contractile vacuole morphology","""aberrant contractile vacuole morphology""","8","0","0","1","1",""
"aberrant contractile vacuole organization","aberrant contractile vacuole organization","""aberrant contractile vacuole organization""","10","0","0","1","1",""
"aberrant cortical actin cytoskeleton organization","aberrant cortical actin cytoskeleton organization","""aberrant cortical actin cytoskeleton organization""","8","0","0","1","1",""
"aberrant cyclic nucleotide binding","aberrant cyclic nucleotide binding","""aberrant cyclic nucleotide binding""","1","0","0","1","1",""
"aberrant cytokinesis","aberrant cytokinesis","""aberrant cytokinesis""","104","1","0.96","0.567152042378522","1","8626671"
"aberrant cytoskeleton organization","aberrant cytoskeleton organization","""aberrant cytoskeleton organization""","10","0","0","1","1",""
"aberrant development of tipped mound","aberrant development of tipped mound","""aberrant development of tipped mound""","6","0","0","1","1",""
"aberrant double-strand break repair via homologous recombination","aberrant double-strand break repair via homologous recombination","""aberrant double-strand break repair via homologous recombination""","1","0","0","1","1",""
"aberrant endocytosis","aberrant endocytosis","""aberrant endocytosis""","2","0","0","1","1",""
"aberrant endoplasmic reticulum membrane organization","aberrant endoplasmic reticulum membrane organization","""aberrant endoplasmic reticulum membrane organization""","1","0","0","1","1",""
"aberrant endoplasmic reticulum organization","aberrant endoplasmic reticulum organization","""aberrant endoplasmic reticulum organization""","1","0","0","1","1",""
"aberrant endosomal transport","aberrant endosomal transport","""aberrant endosomal transport""","1","0","0","1","1",""
"aberrant endosome morphology","aberrant endosome morphology","""aberrant endosome morphology""","4","0","0","1","1",""
"aberrant engulfment during phagocytosis","aberrant engulfment during phagocytosis","""aberrant engulfment during phagocytosis""","2","0","0","1","1",""
"aberrant exocytosis","aberrant exocytosis","""aberrant exocytosis""","1","0","0","1","1",""
"aberrant extracellular cAMP signaling pathway","aberrant extracellular cAMP signaling pathway","""aberrant extracellular cAMP signaling pathway""","14","0","0","1","1",""
"aberrant filopodium formation","aberrant filopodium formation","""aberrant filopodium formation""","6","0","0","1","1",""
"aberrant hypotonic response","aberrant hypotonic response","""aberrant hypotonic response""","16","0","0","1","1",""
"aberrant inositol phosphate metabolic process","aberrant inositol phosphate metabolic process","""aberrant inositol phosphate metabolic process""","4","0","0","1","1",""
"aberrant intermediate filament bundle assembly","aberrant intermediate filament bundle assembly","""aberrant intermediate filament bundle assembly""","0","0","NaN","1","1",""
"aberrant intermediate filament organization","aberrant intermediate filament organization","""aberrant intermediate filament organization""","0","0","NaN","1","1",""
"aberrant intracellular distribution of mitochondria","aberrant intracellular distribution of mitochondria","""aberrant intracellular distribution of mitochondria""","2","0","0","1","1",""
"aberrant lipid droplet formation","aberrant lipid droplet formation","""aberrant lipid droplet formation""","0","0","NaN","1","1",""
"aberrant lipid storage","aberrant lipid storage","""aberrant lipid storage""","1","0","0","1","1",""
"aberrant localization to coated pits","aberrant localization to coated pits","""aberrant localization to coated pits""","1","0","0","1","1",""
"aberrant localization","aberrant localization","""aberrant localization""","2","0","0","1","1",""
"aberrant lysosome organization","aberrant lysosome organization","""aberrant lysosome organization""","2","0","0","1","1",""
"aberrant macroautophagy","aberrant macroautophagy","""aberrant macroautophagy""","4","0","0","1","1",""
"aberrant macrocyst formation","aberrant macrocyst formation","""aberrant macrocyst formation""","3","0","0","1","1",""
"aberrant macromolecule biosynthesis","aberrant macromolecule biosynthesis","""aberrant macromolecule biosynthesis""","1","0","0","1","1",""
"aberrant macropinocytosis","aberrant macropinocytosis","""aberrant macropinocytosis""","11","0","0","1","1",""
"aberrant microtubule cytoskeleton organization","aberrant microtubule cytoskeleton organization","""aberrant microtubule cytoskeleton organization""","5","0","0","1","1",""
"aberrant mitochondrion morphology","aberrant mitochondrion morphology","""aberrant mitochondrion morphology""","5","0","0","1","1",""
"aberrant mitochondrion organization","aberrant mitochondrion organization","""aberrant mitochondrion organization""","3","0","0","1","1",""
"aberrant mitosis","aberrant mitosis","""aberrant mitosis""","3","0","0","1","1",""
"aberrant mitotic actomyosin contractile ring contraction","aberrant mitotic actomyosin contractile ring contraction","""aberrant mitotic actomyosin contractile ring contraction""","3","0","0","1","1",""
"aberrant mitotic anaphase","aberrant mitotic anaphase","""aberrant mitotic anaphase""","1","0","0","1","1",""
"aberrant mitotic sister chromatid segregation","aberrant mitotic sister chromatid segregation","""aberrant mitotic sister chromatid segregation""","2","0","0","1","1",""
"aberrant mitotic spindle elongation","aberrant mitotic spindle elongation","""aberrant mitotic spindle elongation""","1","0","0","1","1",""
"aberrant mitotic spindle organization","aberrant mitotic spindle organization","""aberrant mitotic spindle organization""","7","0","0","1","1",""
"aberrant molecular function","aberrant molecular function","""aberrant molecular function""","1","0","0","1","1",""
"aberrant mound color","aberrant mound color","""aberrant mound color""","2","0","0","1","1",""
"aberrant mound size","aberrant mound size","""aberrant mound size""","1","0","0","1","1",""
"aberrant myosin II filament organization","aberrant myosin II filament organization","""aberrant myosin II filament organization""","5","0","0","1","1",""
"aberrant negative chemotaxis","aberrant negative chemotaxis","""aberrant negative chemotaxis""","2","0","0","1","1",""
"aberrant nuclear envelope morphology","aberrant nuclear envelope morphology","""aberrant nuclear envelope morphology""","1","0","0","1","1",""
"aberrant nuclear membrane organization","aberrant nuclear membrane organization","""aberrant nuclear membrane organization""","1","0","0","1","1",""
"aberrant nucleus morphology","aberrant nucleus morphology","""aberrant nucleus morphology""","5","0","0","1","1",""
"aberrant nucleus organization","aberrant nucleus organization","""aberrant nucleus organization""","1","0","0","1","1",""
"aberrant organelle organization","aberrant organelle organization","""aberrant organelle organization""","0","0","NaN","1","1",""
"aberrant osmosensory signaling pathway","aberrant osmosensory signaling pathway","""aberrant osmosensory signaling pathway""","1","0","0","1","1",""
"aberrant phagocytosis","aberrant phagocytosis","""aberrant phagocytosis""","10","0","0","1","1",""
"aberrant phagolysosome formation","aberrant phagolysosome formation","""aberrant phagolysosome formation""","1","0","0","1","1",""
"aberrant phagosome maturation","aberrant phagosome maturation","""aberrant phagosome maturation""","16","0","0","1","1",""
"aberrant phosphatidylinositol metabolism","aberrant phosphatidylinositol metabolism","""aberrant phosphatidylinositol metabolism""","1","0","0","1","1",""
"aberrant phototaxis","aberrant phototaxis","""aberrant phototaxis""","14","0","0","1","1",""
"aberrant pinocytosis","aberrant pinocytosis","""aberrant pinocytosis""","1","0","0","1","1",""
"aberrant pinosome maturation","aberrant pinosome maturation","""aberrant pinosome maturation""","2","0","0","1","1",""
"aberrant plasma membrane organization","aberrant plasma membrane organization","""aberrant plasma membrane organization""","1","0","0","1","1",""
"aberrant pore formation during contractile vacuole discharge","aberrant pore formation during contractile vacuole discharge","""aberrant pore formation during contractile vacuole discharge""","1","0","0","1","1",""
"aberrant positive regulation of chemorepellant activity","aberrant positive regulation of chemorepellant activity","""aberrant positive regulation of chemorepellant activity""","5","0","0","1","1",""
"aberrant positive regulation of mitochondrial membrane potential","aberrant positive regulation of mitochondrial membrane potential","""aberrant positive regulation of mitochondrial membrane potential""","1","0","0","1","1",""
"aberrant post-lysosomal vacuole exocytosis","aberrant post-lysosomal vacuole exocytosis","""aberrant post-lysosomal vacuole exocytosis""","1","0","0","1","1",""
"aberrant prespore cell differentiation","aberrant prespore cell differentiation","""aberrant prespore cell differentiation""","4","0","0","1","1",""
"aberrant prestalk A cell differentiation","aberrant prestalk A cell differentiation","""aberrant prestalk A cell differentiation""","1","0","0","1","1",""
"aberrant prestalk B cell differentiation","aberrant prestalk B cell differentiation","""aberrant prestalk B cell differentiation""","1","0","0","1","1",""
"aberrant prestalk O cell differentiation","aberrant prestalk O cell differentiation","""aberrant prestalk O cell differentiation""","2","0","0","1","1",""
"aberrant prestalk gene expression","aberrant prestalk gene expression","""aberrant prestalk gene expression""","8","0","0","1","1",""
"aberrant production of siRNA involved in RNA interference","aberrant production of siRNA involved in RNA interference","""aberrant production of siRNA involved in RNA interference""","4","0","0","1","1",""
"aberrant protein level","aberrant protein level","""aberrant protein level""","3","0","0","1","1",""
"aberrant protein localization to autophagosome","aberrant protein localization to autophagosome","""aberrant protein localization to autophagosome""","1","0","0","1","1",""
"aberrant protein localization to basolateral plasma membrane","aberrant protein localization to basolateral plasma membrane","""aberrant protein localization to basolateral plasma membrane""","1","0","0","1","1",""
"aberrant protein localization to cell cortex","aberrant protein localization to cell cortex","""aberrant protein localization to cell cortex""","3","0","0","1","1",""
"aberrant protein localization to cell surface","aberrant protein localization to cell surface","""aberrant protein localization to cell surface""","1","0","0","1","1",""
"aberrant protein localization to clathrin-coated pit","aberrant protein localization to clathrin-coated pit","""aberrant protein localization to clathrin-coated pit""","1","0","0","1","1",""
"aberrant protein localization to contractile vacuole","aberrant protein localization to contractile vacuole","""aberrant protein localization to contractile vacuole""","2","0","0","1","1",""
"aberrant protein localization to cytoplasm","aberrant protein localization to cytoplasm","""aberrant protein localization to cytoplasm""","3","0","0","1","1",""
"aberrant protein localization to cytoplasmic vesicle","aberrant protein localization to cytoplasmic vesicle","""aberrant protein localization to cytoplasmic vesicle""","1","0","0","1","1",""
"aberrant protein localization to lysosomal membrane","aberrant protein localization to lysosomal membrane","""aberrant protein localization to lysosomal membrane""","0","0","NaN","1","1",""
"aberrant protein localization to mitotic spindle","aberrant protein localization to mitotic spindle","""aberrant protein localization to mitotic spindle""","2","0","0","1","1",""
"aberrant protein localization to nuclear envelope","aberrant protein localization to nuclear envelope","""aberrant protein localization to nuclear envelope""","1","0","0","1","1",""
