"","pathway","description","genes_in_pathway","matches","%_match","pValue","adj.pValue","overlap"
"GO:0044281","GO:0044281","""small molecule metabolic process""","384","21","5.47","0.000564032276925964","0.0505472455233357","8616467,8618840,8619881,8620128,8620200,8620371,8620966,8621274,8621351,8621587,8622055,8622433,8623273,8624665,8625523,8625750,8626020,8627397,8628031,8629223,8629462"
"GO:0044085","GO:0044085","""cellular component biogenesis""","282","17","6.03","0.000661324353897193","0.0544609542249931","8615885,8616670,8616794,8617212,8617301,8617326,8618665,8620676,8620782,8620794,8620983,8621274,8621393,8623323,8627224,8629083,8629223"
"GO:0030178","GO:0030178","""negative regulation of Wnt signaling pathway""","2","2","100","0.000625855130878922","0.0544609542249931","8618391,8618513"
"GO:0006082","GO:0006082","""organic acid metabolic process""","231","15","6.49","0.000645085123695602","0.0544609542249931","8616467,8618840,8620128,8620200,8620371,8620966,8621587,8622055,8622433,8623273,8624665,8625523,8625750,8628031,8629462"
"GO:0048585","GO:0048585","""negative regulation of response to stimulus""","29","5","17.24","0.000682038285792304","0.0546887014949776","8617472,8618391,8618513,8624075,8627992"
"GO:0009267","GO:0009267","""cellular response to starvation""","142","11","7.75","0.000828042590161645","0.0615377017615251","8616670,8617472,8618108,8620128,8620983,8622253,8624075,8625513,8628675,8629014,8629223"
"GO:0042594","GO:0042594","""response to starvation""","142","11","7.75","0.000828042590161645","0.0615377017615251","8616670,8617472,8618108,8620128,8620983,8622253,8624075,8625513,8628675,8629014,8629223"
"GO:0031150","GO:0031150","""sorocarp stalk development""","45","6","13.33","0.000824542163404683","0.0615377017615251","8616702,8617212,8617667,8627992,8628117,8629014"
"GO:0031668","GO:0031668","""cellular response to extracellular stimulus""","144","11","7.64","0.000930222751008058","0.0659160167981757","8616670,8617472,8618108,8620128,8620983,8622253,8624075,8625513,8628675,8629014,8629223"
"GO:0031669","GO:0031669","""cellular response to nutrient levels""","144","11","7.64","0.000930222751008058","0.0659160167981757","8616670,8617472,8618108,8620128,8620983,8622253,8624075,8625513,8628675,8629014,8629223"
"GO:0071496","GO:0071496","""cellular response to external stimulus""","145","11","7.59","0.00098510452663484","0.0682184884694627","8616670,8617472,8618108,8620128,8620983,8622253,8624075,8625513,8628675,8629014,8629223"
"GO:0010646","GO:0010646","""regulation of cell communication""","124","10","8.06","0.00104732248816922","0.0709153693655916","8617472,8618108,8618391,8618513,8620128,8624075,8625513,8626571,8629014,8629223"
"GO:0071840","GO:0071840","""cellular component organization or biogenesis""","549","26","4.74","0.00109852741491254","0.072765500722576","8615885,8616670,8616794,8617212,8617301,8617326,8617758,8618665,8620083,8620676,8620782,8620794,8620983,8621274,8621393,8621449,8623323,8623482,8624075,8625736,8625746,8626671,8627224,8629014,8629083,8629223"
"GO:0016043","GO:0016043","""cellular component organization""","491","24","4.89","0.00112532260221961","0.0729544248715566","8615885,8616670,8616794,8617212,8617301,8617758,8618665,8620083,8620676,8620782,8620794,8620983,8621274,8621393,8621449,8623482,8624075,8625736,8625746,8626671,8627224,8629014,8629083,8629223"
"GO:0007155","GO:0007155","""cell adhesion""","85","8","9.41","0.00123509267889331","0.0784026540122485","8617837,8617933,8617952,8620128,8622253,8626671,8628675,8629223"
"GO:0006011","GO:0006011","""UDP-glucose metabolic process""","3","2","66.67","0.0018465312539155","0.082740893098243","8621274,8627397"
"GO:0016055","GO:0016055","""Wnt signaling pathway""","3","2","66.67","0.0018465312539155","0.082740893098243","8618391,8618513"
"GO:0031152","GO:0031152","""aggregation involved in sorocarp development""","133","10","7.52","0.00178539067536998","0.082740893098243","8617472,8618108,8620128,8620983,8622253,8624075,8625513,8628675,8629014,8629223"
"GO:0051274","GO:0051274","""beta-glucan biosynthetic process""","3","2","66.67","0.0018465312539155","0.082740893098243","8617212,8621274"
"GO:0019752","GO:0019752","""carboxylic acid metabolic process""","230","14","6.09","0.00181926181217284","0.082740893098243","8616467,8618840,8620128,8620200,8620371,8621587,8622055,8622433,8623273,8624665,8625523,8625750,8628031,8629462"
"GO:1905114","GO:1905114","""cell surface receptor signaling pathway involved in cell-cell signaling""","3","2","66.67","0.0018465312539155","0.082740893098243","8618391,8618513"
"GO:0198738","GO:0198738","""cell-cell signaling by wnt""","3","2","66.67","0.0018465312539155","0.082740893098243","8618391,8618513"
"GO:0006073","GO:0006073","""cellular glucan metabolic process""","10","3","30","0.00163482723004674","0.082740893098243","8617212,8621274,8623081"
"GO:0044264","GO:0044264","""cellular polysaccharide metabolic process""","10","3","30","0.00163482723004674","0.082740893098243","8617212,8621274,8623081"
"GO:0030244","GO:0030244","""cellulose biosynthetic process""","3","2","66.67","0.0018465312539155","0.082740893098243","8617212,8621274"
"GO:0006012","GO:0006012","""galactose metabolic process""","3","2","66.67","0.0018465312539155","0.082740893098243","8619881,8627397"
"GO:0044042","GO:0044042","""glucan metabolic process""","10","3","30","0.00163482723004674","0.082740893098243","8617212,8621274,8623081"
"GO:0042744","GO:0042744","""hydrogen peroxide catabolic process""","3","2","66.67","0.0018465312539155","0.082740893098243","8617104,8620966"
"GO:0042743","GO:0042743","""hydrogen peroxide metabolic process""","3","2","66.67","0.0018465312539155","0.082740893098243","8617104,8620966"
"GO:0009968","GO:0009968","""negative regulation of signal transduction""","21","4","19.05","0.00163806836904657","0.082740893098243","8617472,8618391,8618513,8624075"
"GO:2000272","GO:2000272","""negative regulation of signaling receptor activity""","3","2","66.67","0.0018465312539155","0.082740893098243","8618391,8618513"
"GO:0023057","GO:0023057","""negative regulation of signaling""","21","4","19.05","0.00163806836904657","0.082740893098243","8617472,8618391,8618513,8624075"
"GO:0043436","GO:0043436","""oxoacid metabolic process""","230","14","6.09","0.00181926181217284","0.082740893098243","8616467,8618840,8620128,8620200,8620371,8621587,8622055,8622433,8623273,8624665,8625523,8625750,8628031,8629462"
"GO:0005976","GO:0005976","""polysaccharide metabolic process""","10","3","30","0.00163482723004674","0.082740893098243","8617212,8621274,8623081"
"GO:0030111","GO:0030111","""regulation of Wnt signaling pathway""","3","2","66.67","0.0018465312539155","0.082740893098243","8618391,8618513"
"GO:0007154","GO:0007154","""cell communication""","452","22","4.87","0.00193676157262488","0.0851341313591663","8615939,8616670,8617301,8617472,8618108,8618391,8618513,8620128,8620983,8621425,8621827,8622088,8622253,8624075,8624635,8625513,8626513,8626571,8628675,8629014,8629223,8629399"
"GO:0051716","GO:0051716","""cellular response to stimulus""","572","26","4.55","0.00198376216819849","0.0851341313591663","8615939,8616670,8617104,8617301,8617472,8618108,8618391,8618513,8618706,8620128,8620966,8620983,8621425,8621827,8622088,8622253,8623323,8624075,8624635,8625513,8626513,8626571,8628675,8629014,8629223,8629399"
"GO:0010648","GO:0010648","""negative regulation of cell communication""","22","4","18.18","0.00196334383329745","0.0851341313591663","8617472,8618391,8618513,8624075"
"GO:0048519","GO:0048519","""negative regulation of biological process""","183","12","6.56","0.00207297524057778","0.08772716052834","8615885,8616025,8617472,8618391,8618513,8624075,8626513,8626571,8627992,8628117,8629014,8629223"
"GO:0042221","GO:0042221","""response to chemical""","266","15","5.64","0.00265995963762967","0.111025986518597","8615885,8617104,8618108,8618665,8618706,8620966,8621449,8623081,8623323,8624075,8625513,8626571,8627224,8629014,8629223"
"GO:0009966","GO:0009966","""regulation of signal transduction""","99","8","8.08","0.00326841896762188","0.131037797293998","8617472,8618108,8618391,8618513,8620128,8624075,8626571,8629223"
"GO:0010469","GO:0010469","""regulation of signaling receptor activity""","25","4","16","0.00320225292209418","0.131037797293998","8618108,8618391,8618513,8629223"
"GO:0023051","GO:0023051","""regulation of signaling""","99","8","8.08","0.00326841896762188","0.131037797293998","8617472,8618108,8618391,8618513,8620128,8624075,8626571,8629223"
"GO:0032104","GO:0032104","""regulation of response to extracellular stimulus""","41","5","12.2","0.00337794790565022","0.131956503442515","8624075,8625513,8627992,8628117,8629014"
"GO:0032107","GO:0032107","""regulation of response to nutrient levels""","41","5","12.2","0.00337794790565022","0.131956503442515","8624075,8625513,8627992,8628117,8629014"
"GO:0051273","GO:0051273","""beta-glucan metabolic process""","4","2","50","0.00363214144369034","0.134965060718591","8617212,8621274"
"GO:0030243","GO:0030243","""cellulose metabolic process""","4","2","50","0.00363214144369034","0.134965060718591","8617212,8621274"
"GO:0010752","GO:0010752","""regulation of cGMP-mediated signaling""","4","2","50","0.00363214144369034","0.134965060718591","8624075,8629223"
"GO:0014066","GO:0014066","""regulation of phosphatidylinositol 3-kinase signaling""","4","2","50","0.00363214144369034","0.134965060718591","8624075,8629223"
"GO:0006950","GO:0006950","""response to stress""","392","19","4.85","0.00415580818858923","0.152563223501583","8616670,8617104,8617308,8617472,8618108,8620128,8620966,8620983,8622253,8623323,8624075,8625513,8626571,8627224,8628675,8628964,8629014,8629083,8629223"
"GO:0005975","GO:0005975","""carbohydrate metabolic process""","82","7","8.54","0.00431930403562421","0.156677611863655","8616467,8617212,8619881,8621274,8623081,8626020,8627397"
"GO:0006520","GO:0006520","""amino acid metabolic process""","127","9","7.09","0.00446995015689025","0.158371373581914","8618840,8620128,8620200,8621587,8622055,8622433,8624665,8625523,8628031"
"GO:0050793","GO:0050793","""regulation of developmental process""","104","8","7.69","0.00442542614004934","0.158371373581914","8620128,8622088,8624075,8625513,8627992,8628117,8629014,8629223"
"GO:0032101","GO:0032101","""regulation of response to external stimulus""","84","7","8.33","0.00493596110725719","0.172872109124283","8618108,8624075,8625513,8627992,8628117,8629014,8629223"
"GO:0033692","GO:0033692","""cellular polysaccharide biosynthetic process""","5","2","40","0.00595390852041329","0.19719086154021","8617212,8621274"
"GO:0071277","GO:0071277","""cellular response to calcium ion""","5","2","40","0.00595390852041329","0.19719086154021","8618706,8629014"
"GO:0009250","GO:0009250","""glucan biosynthetic process""","5","2","40","0.00595390852041329","0.19719086154021","8617212,8621274"
"GO:0045744","GO:0045744","""negative regulation of G protein-coupled receptor signaling pathway""","5","2","40","0.00595390852041329","0.19719086154021","8617472,8624075"
"GO:0000271","GO:0000271","""polysaccharide biosynthetic process""","5","2","40","0.00595390852041329","0.19719086154021","8617212,8621274"
"GO:0009064","GO:0009064","""glutamine family amino acid metabolic process""","30","4","13.33","0.00629463971738571","0.206234056116927","8618840,8620200,8622055,8622433"
"GO:0072593","GO:0072593","""reactive oxygen species metabolic process""","16","3","18.75","0.00682976922042245","0.2213862427088","8617104,8620966,8623104"
"GO:0070887","GO:0070887","""cellular response to chemical stimulus""","69","6","8.7","0.00740714031645929","0.237574279413173","8617104,8618706,8620966,8626571,8629014,8629223"
"GO:0051093","GO:0051093","""negative regulation of developmental process""","17","3","17.65","0.00814233600475841","0.25843435215103","8624075,8627992,8629223"
"GO:0065008","GO:0065008","""regulation of biological quality""","141","9","6.38","0.00876682187809993","0.275386662500727","8617301,8618665,8620083,8621587,8624075,8625513,8626571,8626671,8629014"
"GO:0051591","GO:0051591","""response to cAMP""","18","3","16.67","0.00959317297823836","0.298269368007064","8623081,8627224,8629223"
"GO:0031157","GO:0031157","""regulation of aggregate size involved in sorocarp development""","19","3","15.79","0.0111850480887728","0.344250924510008","8624075,8625513,8629014"
"GO:0007186","GO:0007186","""G protein-coupled receptor signaling pathway""","99","7","7.07","0.0118806779323349","0.354393537238999","8617472,8618108,8620128,8624075,8625513,8626513,8629223"
"GO:0006112","GO:0006112","""energy reserve metabolic process""","7","2","28.57","0.0120961364860046","0.354393537238999","8621274,8623081"
"GO:0005977","GO:0005977","""glycogen metabolic process""","7","2","28.57","0.0120961364860046","0.354393537238999","8621274,8623081"
"GO:0014065","GO:0014065","""phosphatidylinositol 3-kinase signaling""","7","2","28.57","0.0120961364860046","0.354393537238999","8624075,8629223"
"GO:0022407","GO:0022407","""regulation of cell-cell adhesion""","7","2","28.57","0.0120961364860046","0.354393537238999","8620128,8629223"
"GO:0007165","GO:0007165","""signal transduction""","374","17","4.55","0.0122315573869422","0.35494814626679","8615939,8617301,8617472,8618108,8618391,8618513,8620128,8621425,8621827,8622088,8624075,8624635,8625513,8626513,8626571,8629223,8629399"
"GO:0106070","GO:0106070","""regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway""","20","3","15","0.0129202492896915","0.364518514682315","8617472,8620128,8624075"
"GO:0046683","GO:0046683","""response to organophosphorus""","20","3","15","0.0129202492896915","0.364518514682315","8623081,8627224,8629223"
"GO:0023052","GO:0023052","""signaling""","376","17","4.52","0.0128473497397295","0.364518514682315","8615939,8617301,8617472,8618108,8618391,8618513,8620128,8621425,8621827,8622088,8624075,8624635,8625513,8626513,8626571,8629223,8629399"
"GO:0006972","GO:0006972","""hyperosmotic response""","37","4","10.81","0.0132484180085039","0.366981178835558","8616670,8617308,8627224,8628964"
"GO:0006979","GO:0006979","""response to oxidative stress""","37","4","10.81","0.0132484180085039","0.366981178835558","8617104,8620966,8623323,8628964"
"GO:1901698","GO:1901698","""response to nitrogen compound""","57","5","8.77","0.0136998253809609","0.37606637779989","8623081,8625513,8627224,8629014,8629223"
"GO:1901605","GO:1901605","""alpha-amino acid metabolic process""","80","6","7.5","0.014834220412963","0.403570264270521","8618840,8620128,8620200,8622055,8622433,8628031"
"GO:0070588","GO:0070588","""calcium ion transmembrane transport""","8","2","25","0.0158642702995917","0.409935959859253","8621371,8626571"
"GO:0007166","GO:0007166","""cell surface receptor signaling pathway""","39","4","10.26","0.0158754326430561","0.409935959859253","8618391,8618513,8624635,8626513"
"GO:0071241","GO:0071241","""cellular response to inorganic substance""","8","2","25","0.0158642702995917","0.409935959859253","8618706,8629014"
"GO:0071248","GO:0071248","""cellular response to metal ion""","8","2","25","0.0158642702995917","0.409935959859253","8618706,8629014"
"GO:0051592","GO:0051592","""response to calcium ion""","8","2","25","0.0158642702995917","0.409935959859253","8618706,8629014"
"GO:0036360","GO:0036360","""sorocarp stalk morphogenesis""","8","2","25","0.0158642702995917","0.409935959859253","8616702,8617667"
"GO:0006970","GO:0006970","""response to osmotic stress""","82","6","7.32","0.0165965929627401","0.421415156312243","8616670,8617308,8626571,8627224,8628964,8629014"
"GO:1901700","GO:1901700","""response to oxygen-containing compound""","82","6","7.32","0.0165965929627401","0.421415156312243","8617104,8621449,8623081,8625513,8627224,8629223"
"GO:1990778","GO:1990778","""protein localization to cell periphery""","22","3","13.64","0.0168275499780186","0.423748303991922","8620782,8624075,8629223"
"GO:0033554","GO:0033554","""cellular response to stress""","270","13","4.81","0.0177918336801459","0.444358337896758","8616670,8617472,8618108,8620128,8620983,8622253,8623323,8624075,8625513,8626571,8628675,8629014,8629223"
"GO:0006816","GO:0006816","""calcium ion transport""","9","2","22.22","0.0200638396023396","0.459658039611494","8621371,8626571"
"GO:0034637","GO:0034637","""cellular carbohydrate biosynthetic process""","9","2","22.22","0.0200638396023396","0.459658039611494","8617212,8621274"
"GO:0003006","GO:0003006","""developmental process involved in reproduction""","9","2","22.22","0.0200638396023396","0.459658039611494","8627992,8628117"
"GO:0032102","GO:0032102","""negative regulation of response to external stimulus""","9","2","22.22","0.0200638396023396","0.459658039611494","8624075,8627992"
"GO:2000241","GO:2000241","""regulation of reproductive process""","9","2","22.22","0.0200638396023396","0.459658039611494","8627992,8628117"
"GO:0075260","GO:0075260","""regulation of spore-bearing organ development""","9","2","22.22","0.0200638396023396","0.459658039611494","8627992,8628117"
"GO:0048608","GO:0048608","""reproductive structure development""","9","2","22.22","0.0200638396023396","0.459658039611494","8627992,8628117"
"GO:0061458","GO:0061458","""reproductive system development""","9","2","22.22","0.0200638396023396","0.459658039611494","8627992,8628117"
"GO:0019953","GO:0019953","""sexual reproduction""","23","3","13.04","0.0190020733500806","0.459658039611494","8617301,8622126,8624758"
"GO:0075259","GO:0075259","""spore-bearing structure development""","9","2","22.22","0.0200638396023396","0.459658039611494","8627992,8628117"
"GO:0048731","GO:0048731","""system development""","9","2","22.22","0.0200638396023396","0.459658039611494","8627992,8628117"
"GO:0098609","GO:0098609","""cell-cell adhesion""","42","4","9.52","0.0203927968084499","0.463707849816021","8620128,8622253,8628675,8629223"
"GO:0008277","GO:0008277","""regulation of G protein-coupled receptor signaling pathway""","24","3","12.5","0.0213248210163946","0.47428269807996","8617472,8620128,8624075"
"GO:0010038","GO:0010038","""response to metal ion""","24","3","12.5","0.0213248210163946","0.47428269807996","8618706,8623323,8629014"
"GO:0014074","GO:0014074","""response to purine-containing compound""","24","3","12.5","0.0213248210163946","0.47428269807996","8623081,8627224,8629223"
"GO:0006556","GO:0006556","""S-adenosylmethionine biosynthetic process""","1","1","100","0.0250917992656059","0.480847247561643","8628031"
"GO:0001709","GO:0001709","""cell fate determination""","1","1","100","0.0250917992656059","0.480847247561643","8628675"
"GO:0071466","GO:0071466","""cellular response to xenobiotic stimulus""","1","1","100","0.0250917992656059","0.480847247561643","8620966"
"GO:0006541","GO:0006541","""glutamine metabolic process""","10","2","20","0.0246710926954128","0.480847247561643","8620200,8622055"
"GO:0006426","GO:0006426","""glycyl-tRNA aminoacylation""","1","1","100","0.0250917992656059","0.480847247561643","8624665"
"GO:0019318","GO:0019318","""hexose metabolic process""","25","3","12","0.0237960803019811","0.480847247561643","8619881,8626020,8627397"
"GO:0060547","GO:0060547","""negative regulation of necrotic cell death""","1","1","100","0.0250917992656059","0.480847247561643","8628117"
"GO:1904376","GO:1904376","""negative regulation of protein localization to cell periphery""","1","1","100","0.0250917992656059","0.480847247561643","8624075"
"GO:1905476","GO:1905476","""negative regulation of protein localization to membrane""","1","1","100","0.0250917992656059","0.480847247561643","8624075"
"GO:1903077","GO:1903077","""negative regulation of protein localization to plasma membrane""","1","1","100","0.0250917992656059","0.480847247561643","8624075"
"GO:0031273","GO:0031273","""negative regulation of pseudopodium assembly""","1","1","100","0.0250917992656059","0.480847247561643","8615885"
"GO:0046587","GO:0046587","""positive regulation of calcium-dependent cell-cell adhesion""","1","1","100","0.0250917992656059","0.480847247561643","8629223"
"GO:0014068","GO:0014068","""positive regulation of phosphatidylinositol 3-kinase signaling""","1","1","100","0.0250917992656059","0.480847247561643","8629223"
"GO:0099614","GO:0099614","""protein localization to spore cell wall""","1","1","100","0.0250917992656059","0.480847247561643","8620782"
"GO:0046586","GO:0046586","""regulation of calcium-dependent cell-cell adhesion""","1","1","100","0.0250917992656059","0.480847247561643","8629223"
"GO:0010939","GO:0010939","""regulation of necrotic cell death""","1","1","100","0.0250917992656059","0.480847247561643","8628117"
"GO:1905475","GO:1905475","""regulation of protein localization to membrane""","1","1","100","0.0250917992656059","0.480847247561643","8624075"
"GO:1903076","GO:1903076","""regulation of protein localization to plasma membrane""","1","1","100","0.0250917992656059","0.480847247561643","8624075"
"GO:0046898","GO:0046898","""response to cycloheximide""","1","1","100","0.0250917992656059","0.480847247561643","8627224"
"GO:0016074","GO:0016074","""sno(s)RNA metabolic process""","1","1","100","0.0250917992656059","0.480847247561643","8617326"
"GO:0018969","GO:0018969","""thiocyanate metabolic process""","1","1","100","0.0250917992656059","0.480847247561643","8620966"
"GO:0006805","GO:0006805","""xenobiotic metabolic process""","1","1","100","0.0250917992656059","0.480847247561643","8620966"
"GO:0005996","GO:0005996","""monosaccharide metabolic process""","26","3","11.54","0.0264158102011273","0.503056085517718","8619881,8626020,8627397"
"GO:0014070","GO:0014070","""response to organic cyclic compound""","68","5","7.35","0.0274158242058902","0.518857244443151","8621449,8623081,8625513,8627224,8629223"
"GO:0030031","GO:0030031","""cell projection assembly""","47","4","8.51","0.0295279660947277","0.537998372836674","8615885,8617301,8618665,8629223"
"GO:0007275","GO:0007275","""multicellular organism development""","11","2","18.18","0.0296631856372042","0.537998372836674","8627992,8628117"
"GO:0045596","GO:0045596","""negative regulation of cell differentiation""","11","2","18.18","0.0296631856372042","0.537998372836674","8627992,8629223"
"GO:0009225","GO:0009225","""nucleotide-sugar metabolic process""","11","2","18.18","0.0296631856372042","0.537998372836674","8621274,8627397"
"GO:0120031","GO:0120031","""plasma membrane bounded cell projection assembly""","47","4","8.51","0.0295279660947277","0.537998372836674","8615885,8617301,8618665,8629223"
"GO:0010628","GO:0010628","""positive regulation of gene expression""","47","4","8.51","0.0295279660947277","0.537998372836674","8622088,8624635,8626513,8628117"
"GO:0051239","GO:0051239","""regulation of multicellular organismal process""","11","2","18.18","0.0296631856372042","0.537998372836674","8627992,8628117"
"GO:0046395","GO:0046395","""carboxylic acid catabolic process""","48","4","8.33","0.0316026665920557","0.563118860268969","8618840,8622433,8625523,8625750"
"GO:0016054","GO:0016054","""organic acid catabolic process""","48","4","8.33","0.0316026665920557","0.563118860268969","8618840,8622433,8625523,8625750"
"GO:0045595","GO:0045595","""regulation of cell differentiation""","48","4","8.33","0.0316026665920557","0.563118860268969","8620128,8627992,8628117,8629223"
"GO:0098742","GO:0098742","""cell-cell adhesion via plasma-membrane adhesion molecules""","12","2","16.67","0.0350181520935231","0.612202056564269","8628675,8629223"
"GO:0032501","GO:0032501","""multicellular organismal process""","12","2","16.67","0.0350181520935231","0.612202056564269","8627992,8628117"
"GO:0030155","GO:0030155","""regulation of cell adhesion""","12","2","16.67","0.0350181520935231","0.612202056564269","8620128,8629223"
"GO:0019932","GO:0019932","""second-messenger-mediated signaling""","29","3","10.34","0.0351609320310952","0.612202056564269","8624075,8626571,8629223"
"GO:0007188","GO:0007188","""adenylate cyclase-modulating G protein-coupled receptor signaling pathway""","50","4","8","0.0360036029179538","0.623312375517075","8617472,8620128,8624075,8629223"
"GO:0009066","GO:0009066","""aspartate family amino acid metabolic process""","13","2","15.38","0.0407148741148878","0.693062689542251","8620200,8628031"
"GO:0019934","GO:0019934","""cGMP-mediated signaling""","13","2","15.38","0.0407148741148878","0.693062689542251","8624075,8629223"
"GO:0031153","GO:0031153","""slug development involved in sorocarp development""","13","2","15.38","0.0407148741148878","0.693062689542251","8620676,8628117"
"GO:0002031","GO:0002031","""G protein-coupled receptor internalization""","2","1","50","0.049557743400333","0.695863797883939","8617472"
"GO:0030036","GO:0030036","""actin cytoskeleton organization""","159","8","5.03","0.0461264866927985","0.695863797883939","8616670,8617301,8618665,8623482,8626671,8627224,8629014,8629223"
"GO:0007015","GO:0007015","""actin filament organization""","103","6","5.83","0.0443217455465464","0.695863797883939","8616670,8617301,8618665,8626671,8627224,8629223"
"GO:0030029","GO:0030029","""actin filament-based process""","161","8","4.97","0.0490220613598867","0.695863797883939","8616670,8617301,8618665,8623482,8626671,8627224,8629014,8629223"
"GO:0007193","GO:0007193","""adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway""","2","1","50","0.049557743400333","0.695863797883939","8624075"
"GO:0006419","GO:0006419","""alanyl-tRNA aminoacylation""","2","1","50","0.049557743400333","0.695863797883939","8621587"
"GO:0006529","GO:0006529","""asparagine biosynthetic process""","2","1","50","0.049557743400333","0.695863797883939","8620200"
"GO:0044248","GO:0044248","""cellular catabolic process""","213","10","4.69","0.0412019492312316","0.695863797883939","8616025,8617104,8617905,8618840,8620966,8621274,8622433,8623081,8625523,8625750"
"GO:0006536","GO:0006536","""glutamate metabolic process""","14","2","14.29","0.0467330538138083","0.695863797883939","8618840,8622433"
"GO:0005980","GO:0005980","""glycogen catabolic process""","2","1","50","0.049557743400333","0.695863797883939","8623081"
"GO:0019287","GO:0019287","""isopentenyl diphosphate biosynthetic process, mevalonate pathway""","2","1","50","0.049557743400333","0.695863797883939","8621351"
"GO:0009240","GO:0009240","""isopentenyl diphosphate biosynthetic process""","2","1","50","0.049557743400333","0.695863797883939","8621351"
"GO:0046490","GO:0046490","""isopentenyl diphosphate metabolic process""","2","1","50","0.049557743400333","0.695863797883939","8621351"
"GO:0070265","GO:0070265","""necrotic cell death""","2","1","50","0.049557743400333","0.695863797883939","8628117"
"GO:0106072","GO:0106072","""negative regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway""","2","1","50","0.049557743400333","0.695863797883939","8624075"
"GO:0010507","GO:0010507","""negative regulation of autophagy""","2","1","50","0.049557743400333","0.695863797883939","8616025"
"GO:0010754","GO:0010754","""negative regulation of cGMP-mediated signaling""","2","1","50","0.049557743400333","0.695863797883939","8624075"
"GO:0060548","GO:0060548","""negative regulation of cell death""","2","1","50","0.049557743400333","0.695863797883939","8628117"
"GO:0030308","GO:0030308","""negative regulation of cell growth""","2","1","50","0.049557743400333","0.695863797883939","8624075"
"GO:0045920","GO:0045920","""negative regulation of exocytosis""","2","1","50","0.049557743400333","0.695863797883939","8629014"
"GO:0061123","GO:0061123","""negative regulation of positive chemotaxis to cAMP""","2","1","50","0.049557743400333","0.695863797883939","8624075"
"GO:0050928","GO:0050928","""negative regulation of positive chemotaxis""","2","1","50","0.049557743400333","0.695863797883939","8624075"
"GO:1903828","GO:1903828","""negative regulation of protein localization""","2","1","50","0.049557743400333","0.695863797883939","8624075"
"GO:1901262","GO:1901262","""negative regulation of sorocarp spore cell differentiation""","2","1","50","0.049557743400333","0.695863797883939","8629223"
"GO:0046931","GO:0046931","""pore complex assembly""","2","1","50","0.049557743400333","0.695863797883939","8629083"
