Gene,Symbol,Description
DDB_G0271960,mccB,3-methylcrotonyl-CoA:carbon dioxide ligase beta subunit
DDB_G0288105,oxct,3-oxoacid CoA-transferase
DDB_G0282357,pksB,3-oxoacyl-[acyl-carrier protein] reductase
DDB_G0286557,pten,3-phosphatidylinositol 3-phosphatase
DDB_G0281071,serA,3-phosphoglycerate dehydrogenase
DDB_G0279081,abpB,34 kDa actin-binding protein
DDB_G0281487,DDB_G0281487,3beta-hydroxysteroid dehydrogenase
DDB_G0268104,gabT,4-aminobutyrate transaminase
DDB_G0284743,4cl3,4-coumarate-CoA ligase
DDB_G0284745,4cl2,4-coumarate-CoA ligase
DDB_G0284831,4cl1,4-coumarate-CoA ligase
DDB_G0281241,coq2,4-hydroxybenzoate nonaprenyltransferase
DDB_G0277511,hpd,4-hydroxyphenylpyruvate dioxygenase
DDB_G0273429,hpdl-1,4-hydroxyphenylpyruvate dioxygenase-like protein
DDB_G0273513,hpdl-2,4-hydroxyphenylpyruvate dioxygenase-like protein
DDB_G0286117,rps10,40S ribosomal protein S10
DDB_G0282601,rps11,40S ribosomal protein S11
DDB_G0284237,rps12,40S ribosomal protein S12
DDB_G0284533,rps13,40S ribosomal protein S13
DDB_G0291526,rps14,40S ribosomal protein S14
DDB_G0285561,rps15,40S ribosomal protein S15
DDB_G0276457,rps15a,40S ribosomal protein S15a
DDB_G0284093,rps16,40S ribosomal protein S16
DDB_G0290141,rps17,40S ribosomal protein S17
DDB_G0276415,rps18,40S ribosomal protein S18
DDB_G0279207,rps19,40S ribosomal protein S19
DDB_G0278429,rps20,40S ribosomal protein S20
DDB_G0293700,rps21,40S ribosomal protein S21
DDB_G0272250,rps23,40S ribosomal protein S23
DDB_G0275473,rps24,40S ribosomal protein S24
DDB_G0271148,rps25,40S ribosomal protein S25
DDB_G0281677,rps26,40S ribosomal protein S26
DDB_G0277635,rps27,40S ribosomal protein S27
DDB_G0285597,rps28,40S ribosomal protein S28
DDB_G0272308,rps29,40S ribosomal protein S29
DDB_G0293000,rps3,40S ribosomal protein S3
DDB_G0273191,rps30-1,40S ribosomal protein S30
DDB_G0273743,rps30-2,40S ribosomal protein S30
DDB_G0277345,rps3a,40S ribosomal protein S3a
DDB_G0272825,rps4,40S ribosomal protein S4
DDB_G0286075,rps5,40S ribosomal protein S5
DDB_G0280823,rps6,40S ribosomal protein S6
DDB_G0289025,rps7,40S ribosomal protein S7
DDB_G0291864,rps8,40S ribosomal protein S8
DDB_G0289877,rps9,40S ribosomal protein S9
DDB_G0270316,rpsA,40S ribosomal protein SA
DDB_G0290483,abcE1,"4Fe-4S ferredoxin, iron-sulfur binding domain-containing protein"
DDB_G0274351,DDB_G0274351,5'-3' exonuclease domain-containing protein
DDB_G0269922,xrn2,5'-3' exoribonuclease
DDB_G0276137,xrn1,5'-3' exoribonuclease
DDB_G0281151,DDB_G0281151,5'3'-exonuclease N- and I-domain-containing protein
DDB_G0291570,exo1,5'3'-exonuclease N- and I-domain-containing protein
DDB_G0280763,hemA,5-aminolevulinate synthase
DDB_G0284699,mtr,5-methyltetrahydrofolate:L-homocysteine S-methyltransferase
DDB_G0284953,oplah,5-oxo-L-proline amidohydrolase
DDB_G0275095,mgmt,6-O-methylguanine-DNA methyltransferase
DDB_G0277885,gnd,6-phosphogluconate dehydrogenase
DDB_G0279095,ptsA,6-pyruvoyltetrahydropterin synthase
DDB_G0286501,rplP0,60S acidic ribosomal protein P0
DDB_G0277907,rplP1,60S acidic ribosomal protein P1
DDB_G0287995,rplp1B,60S acidic ribosomal protein P1 beta
DDB_G0283393,rplP2,60S acidic ribosomal protein P2
DDB_G0271306,nmd3,60S ribosomal export protein
DDB_G0291862,rpl3,60S ribosomal protein L3
DDB_G0302511,rpl39,60S ribosomal protein L39
DDB_G0277803,rpl4,60S ribosomal protein L4
DDB_G0278539,rpl5,60S ribosomal protein L5
DDB_G0292460,rpl6,60S ribosomal protein L6
DDB_G0277629,rpl7a,60S ribosomal protein L7a
DDB_G0274113,rpl8,60S ribosomal protein L8
DDB_G0278959,rpl9,60S ribosomal protein L9
DDB_G0295477,nip7,60S ribosome subunit biogenesis protein
DDB_G0293766,MTH,"7,8-dihydro-8-oxoguanine triphosphatase"
DDB_G0269924,vps18,7-fold repeat in clathrin and VPS proteins repeat-containing protein
DDB_G0278141,vps11,7-fold repeat in clathrin and VPS proteins repeat-containing protein
DDB_G0286803,vps41,7-fold repeat in clathrin and VPS proteins repeat-containing protein
DDB_G0292618,ogg1,8-oxoguanine DNA-glycosylase
DDB_G0270764,MYH,A/G-specific adenine DNA glycosylase
DDB_G0274437,twfA,A6 family protein kinase
DDB_G0272758,DDB_G0272758,AAA ATPase domain-containing protein
DDB_G0276169,DDB_G0276169,AAA ATPase domain-containing protein
DDB_G0278435,DDB_G0278435,AAA ATPase domain-containing protein
DDB_G0279111,DDB_G0279111,AAA ATPase domain-containing protein
DDB_G0280775,rvb2,AAA ATPase domain-containing protein
DDB_G0281521,DDB_G0281521,AAA ATPase domain-containing protein
DDB_G0282181,nvl,AAA ATPase domain-containing protein
DDB_G0282215,DDB_G0282215,AAA ATPase domain-containing protein
DDB_G0283637,xrcc3,AAA ATPase domain-containing protein
DDB_G0284347,vps4,AAA ATPase domain-containing protein
DDB_G0286765,DDB_G0286765,AAA ATPase domain-containing protein
DDB_G0287165,DDB_G0287165,AAA ATPase domain-containing protein
DDB_G0288993,smc6,AAA ATPase domain-containing protein
DDB_G0289047,DDB_G0289047,AAA ATPase domain-containing protein
DDB_G0289467,DD8-14,AAA ATPase domain-containing protein
DDB_G0290297,xrcc2,AAA ATPase domain-containing protein
DDB_G0290919,smc5,AAA ATPase domain-containing protein
DDB_G0291314,DDB_G0291314,AAA ATPase domain-containing protein
DDB_G0292788,pex6,AAA ATPase domain-containing protein
DDB_G0293220,gpn1,AAA ATPase domain-containing protein
DDB_G0293226,rvb1,AAA ATPase domain-containing protein
DDB_G0273451,DDB_G0273451,"AAA+ ATPase, core domain-containing protein"
DDB_G0273573,DDB_G0273573,"AAA+ ATPase, core domain-containing protein"
DDB_G0272845,DDB_G0272845,AB-hydrolase associated lipase region containing protein
DDB_G0267438,abcA2,ABC transporter A family protein
DDB_G0271138,abcA8,ABC transporter A family protein
DDB_G0271140,abcA7,ABC transporter A family protein
DDB_G0274119,abcA5,ABC transporter A family protein
DDB_G0274121,abcA4,ABC transporter A family protein
DDB_G0275453,abcA11,ABC transporter A family protein
DDB_G0283387,abcA10,ABC transporter A family protein
DDB_G0291245,abcA6,ABC transporter A family protein
DDB_G0291980,abcA9,ABC transporter A family protein
DDB_G0291994,abcA1,ABC transporter A family protein
DDB_G0293436,abcA3,ABC transporter A family protein
DDB_G0269720,abcB7,ABC transporter B family protein
DDB_G0279915,abcB4,ABC transporter B family protein
DDB_G0282931,abcB6,ABC transporter B family protein
DDB_G0286119,tagB,ABC transporter B family protein
DDB_G0286121,tagC,ABC transporter B family protein
DDB_G0286123,tagD,ABC transporter B family protein
DDB_G0291714,abcB3,ABC transporter B family protein
DDB_G0292554,abcB5,ABC transporter B family protein
DDB_G0293002,tagA,ABC transporter B family protein
DDB_G0293416,abcB1,ABC transporter B family protein
DDB_G0293438,abcB2,ABC transporter B family protein
DDB_G0280055,abcC2,ABC transporter C family protein
DDB_G0280459,abcC15,ABC transporter C family protein
DDB_G0280539,abcC13,ABC transporter C family protein
DDB_G0280541,abcC1,ABC transporter C family protein
DDB_G0280973,abcC12,ABC transporter C family protein
DDB_G0280977,abcC10,ABC transporter C family protein
DDB_G0284867,abcC8,ABC transporter C family protein
DDB_G0285165,abcC9,ABC transporter C family protein
DDB_G0286559,abcC5,ABC transporter C family protein
DDB_G0287589,abcC14,ABC transporter C family protein
DDB_G0287593,abcC6,ABC transporter C family protein
DDB_G0287691,abcC3,ABC transporter C family protein
DDB_G0291243,abcC7,ABC transporter C family protein
DDB_G0279917,abcD1,ABC transporter D family protein
DDB_G0279919,abcD3,ABC transporter D family protein
DDB_G0293194,abcD2,ABC transporter D family protein
DDB_G0267430,abcG20,ABC transporter G family protein
DDB_G0267432,abcG15,ABC transporter G family protein
DDB_G0269026,abcG23,ABC transporter G family protein
DDB_G0269206,abcG21,ABC transporter G family protein
DDB_G0269208,abcG19,ABC transporter G family protein
DDB_G0269210,abcG14,ABC transporter G family protein
DDB_G0269212,abcG11,ABC transporter G family protein
DDB_G0269214,abcG1,ABC transporter G family protein
DDB_G0270826,abcG22,ABC transporter G family protein
DDB_G0273073,abcG17-1,ABC transporter G family protein
DDB_G0273781,abcG17-2,ABC transporter G family protein
DDB_G0274115,abcG12,ABC transporter G family protein
DDB_G0274117,abcG8,ABC transporter G family protein
DDB_G0275687,abcG18,ABC transporter G family protein
DDB_G0275689,abcG2,ABC transporter G family protein
DDB_G0281389,abcG6,ABC transporter G family protein
DDB_G0281391,abcG5,ABC transporter G family protein
DDB_G0282103,abcG24,ABC transporter G family protein
DDB_G0287461,abcG3,ABC transporter G family protein
DDB_G0289331,abcG16,ABC transporter G family protein
DDB_G0289655,abcG7,ABC transporter G family protein
DDB_G0289657,abcG4,ABC transporter G family protein
DDB_G0292986,abcG10,ABC transporter G family protein
DDB_G0293450,abcG9,ABC transporter G family protein
DDB_G0275637,abcF3,ABC transporter-related protein
DDB_G0284047,abcF2,ABC transporter-related protein
DDB_G0285997,abcF1,ABC transporter-related protein
DDB_G0267774,abkC,ABC1 family protein kinase
DDB_G0281799,abkB,ABC1 family protein kinase
DDB_G0284897,abkD,ABC1 family protein kinase
DDB_G0288749,abkA,ABC1 family protein kinase
DDB_G0275645,acn9,ACN9 family protein
DDB_G0277615,DDB_G0277615,ADF/cofilin-like domain-containing protein
DDB_G0282595,gmfA,ADF/cofilin-like domain-containing protein
DDB_G0283837,DDB_G0283837,ADF/cofilin-like domain-containing protein
DDB_G0289675,adprh,ADP-ribosylarginine hydrolase
DDB_G0289173,arfA,ADP-ribosylation factor
DDB_G0271942,arl5,ADP-ribosylation factor-like protein
DDB_G0281307,arl2,ADP-ribosylation factor-like protein
DDB_G0283525,arl8,ADP-ribosylation factor-like protein
DDB_G0283631,arfrp1,ADP-ribosylation factor-like protein
DDB_G0288163,arl1,ADP-ribosylation factor-like protein
DDB_G0292332,DDB_G0292332,ADP-ribosylation factor-like protein
DDB_G0271792,arrC,ADP-ribosylation factor-related
DDB_G0274445,arrB,ADP-ribosylation factor-related
DDB_G0276227,DDB_G0276227,ADP-ribosylation factor-related
DDB_G0278057,arrL,ADP-ribosylation factor-related
DDB_G0280479,arrE,ADP-ribosylation factor-related
DDB_G0280621,arrJ,ADP-ribosylation factor-related
DDB_G0280633,arrK,ADP-ribosylation factor-related
DDB_G0282457,arrA,ADP-ribosylation factor-related
DDB_G0288015,arrH,ADP-ribosylation factor-related
DDB_G0289069,arrD,ADP-ribosylation factor-related
DDB_G0289435,arrF,ADP-ribosylation factor-related
DDB_G0267454,ancA,ADP/ATP translocase
DDB_G0292852,DDB_G0292852,AFG1-like ATPase
DDB_G0279609,DDB_G0279609,AFK family protein kinase
DDB_G0277087,purH,AICAR transformylase / IMP cyclohydrolase
DDB_G0268620,pkbA,AKT family protein kinase
DDB_G0288795,DDB_G0288795,AKT family protein kinase
DDB_G0275451,alxA,ALG-2 interacting protein X
DDB_G0283437,DDB_G0283437,AMMECR1 family protein
DDB_G0292266,amdA,AMP deaminase
DDB_G0277905,snfA,AMP-activated protein kinase alpha subunit
DDB_G0281089,prkab,AMP-activated protein kinase beta subunit
DDB_G0272542,prkag,AMP-activated protein kinase gamma subunit
DDB_G0267544,aslM,AMP-dependent synthetase and ligase domain-containing protein
DDB_G0268272,aslN,AMP-dependent synthetase and ligase domain-containing protein
DDB_G0276321,DDB_G0276321,AMP-dependent synthetase and ligase domain-containing protein
DDB_G0276337,DDB_G0276337,AMP-dependent synthetase and ligase domain-containing protein
DDB_G0279561,DDB_G0279561,AMP-dependent synthetase and ligase domain-containing protein
DDB_G0268260,DDB_G0268260,AN1-type zinc finger-containing protein
DDB_G0271732,DDB_G0271732,AN1-type zinc finger-containing protein
DDB_G0289369,DDB_G0289369,AN1-type zinc finger-containing protein
DDB_G0278685,clmA,ANTH domain-containing protein
DDB_G0281957,ap1g1,AP-1 complex gamma 1 subunit
DDB_G0291376,adi1,ARD/ARD' family protein
DDB_G0272296,sarA,ARF/SAR superfamily protein
DDB_G0278443,DDB_G0278443,ARF/SAR superfamily protein
DDB_G0278477,sarB,ARF/SAR superfamily protein
DDB_G0268778,rbbB,ARID/BRIGHT DNA binding domain-containing protein
DDB_G0275333,DDB_G0275333,ARID/BRIGHT DNA binding domain-containing protein
DDB_G0267686,DDB_G0267686,ARK family protein kinase
DDB_G0271682,DDB_G0271682,ARK family protein kinase
DDB_G0272092,DDB_G0272092,ARK family protein kinase
DDB_G0273445,spkA-1,ARK family protein kinase
DDB_G0273531,spkA-2,ARK family protein kinase
DDB_G0278535,DDB_G0278535,ARK family protein kinase
DDB_G0282963,DDB_G0282963,ARK family protein kinase
DDB_G0283699,phg2,ARK family protein kinase
DDB_G0289555,arkA,ARK family protein kinase
DDB_G0290471,DDB_G0290471,ARK family protein kinase
DDB_G0278909,DDB_G0278909,ARMK family protein kinase
DDB_G0280131,DDB_G0280131,ARMK family protein kinase
DDB_G0278345,acly,ATP citrate lyase
DDB_G0269038,atp5D,ATP synthase F1 delta
DDB_G0269916,atp5b,"ATP synthase beta chain, mitochondrial"
DDB_G0276241,atp5e,"ATP synthase epsilon chain, mitochondrial"
DDB_G0292306,atp5C1,ATP synthase gamma chain
DDB_G0292678,atp12,ATP synthase mitochondrial F1 complex assembly factor 2
DDB_G0282921,ctu1,ATP-binding domain-containing protein 3
DDB_G0286069,ku70,ATP-dependent DNA helicase
DDB_G0286303,ku80,ATP-dependent DNA helicase
DDB_G0268512,wrn,ATP-dependent DNA helicase RecQ family protein
DDB_G0272384,DDB_G0272384,ATP-dependent DNA helicase RecQ family protein
DDB_G0292130,blm,ATP-dependent DNA helicase RecQ family protein
DDB_G0269932,uap56,ATP-dependent RNA helicase
DDB_G0275313,dhx9,ATP-dependent RNA helicase
DDB_G0292948,isw,ATP-dependent chromatin-remodelling factor
DDB_G0293388,DDB_G0293388,ATP-dependent metalloprotease
DDB_G0271842,scsC,ATP-specific succinyl-CoA synthetase beta subunit
DDB_G0280893,rbsk,ATP:D-ribose 5-phosphotransferase
DDB_G0286057,adk,ATP:adenosine 5'-phosphotransferase
DDB_G0277269,ionA,"ATPase, P-type cation exchange, alpha subunit"
DDB_G0270870,atp9b,"ATPase, class II, type 9B"
DDB_G0291380,atr1,ATR subfamily protein kinase
DDB_G0285965,DDB_G0285965,AWS domain-containing protein
DDB_G0267418,sahA,AdoHyc hydrolase
DDB_G0268192,DDB_G0268192,AhpC/TSA family protein
DDB_G0269256,DDB_G0269256,AhpC/TSA family protein
DDB_G0269260,DDB_G0269260,AhpC/TSA family protein
DDB_G0269270,DDB_G0269270,AhpC/TSA family protein
DDB_G0269392,DDB_G0269392,AhpC/TSA family protein
DDB_G0272280,DDB_G0272280,AhpC/TSA family protein
DDB_G0275755,DDB_G0275755,AhpC/TSA family protein
DDB_G0279949,DDB_G0279949,AhpC/TSA family protein
DDB_G0279951,DDB_G0279951,AhpC/TSA family protein
DDB_G0279973,DDB_G0279973,AhpC/TSA family protein
DDB_G0282517,DDB_G0282517,AhpC/TSA family protein
DDB_G0285273,DDB_G0285273,AhpC/TSA family protein
DDB_G0268144,vwkA,Alpha kinase family protein
DDB_G0282489,mhkD,Alpha kinase family protein
DDB_G0289115,mhkB,Alpha kinase family protein
DDB_G0290687,mhkC,Alpha kinase family protein
DDB_G0291231,mhkA,Alpha kinase family protein
DDB_G0292150,ak1,Alpha kinase family protein
DDB_G0282285,DDB_G0282285,ApaG domain-containing protein
DDB_G0271766,pARTg,Appr-1-p processing domain-containing protein
DDB_G0267538,DDB_G0267538,Arf GTPase activating protein
DDB_G0275571,DDB_G0275571,Arf GTPase activating protein
DDB_G0275603,DDB_G0275603,Arf GTPase activating protein
DDB_G0275843,DDB_G0275843,Arf GTPase activating protein
DDB_G0276395,DDB_G0276395,Arf GTPase activating protein
DDB_G0278267,DDB_G0278267,Arf GTPase activating protein
DDB_G0279649,DDB_G0279649,Arf GTPase activating protein
DDB_G0279733,gxcDD,Arf GTPase activating protein
DDB_G0281627,DDB_G0281627,Arf GTPase activating protein
DDB_G0286695,DDB_G0286695,Arf GTPase activating protein
DDB_G0292148,DDB_G0292148,Arf GTPase activating protein
DDB_G0272486,DDB_G0272486,Arf guanyl-nucleotide exchange factor
DDB_G0279241,DDB_G0279241,Arf guanyl-nucleotide exchange factor
DDB_G0287459,secG,Arf guanyl-nucleotide exchange factor
DDB_G0290369,DDB_G0290369,Arf guanyl-nucleotide exchange factor
DDB_G0290771,DDB_G0290771,Arf guanyl-nucleotide exchange factor
DDB_G0279343,aurK,Aurora family protein kinase
DDB_G0271372,DDB_G0271372,B-box zinc finger-containing protein
DDB_G0283195,DDB_G0283195,B-box zinc finger-containing protein
DDB_G0284515,DDB_G0284515,B-box zinc finger-containing protein
DDB_G0284853,DDB_G0284853,B-box zinc finger-containing protein
DDB_G0286163,DDB_G0286163,B-box zinc finger-containing protein
DDB_G0290067,cigB,B-box zinc finger-containing protein
DDB_G0290113,DDB_G0290113,B-box zinc finger-containing protein
DDB_G0290597,DDB_G0290597,B-box zinc finger-containing protein
DDB_G0276447,DDB_G0276447,BAR domain-containing protein
DDB_G0284997,DDB_G0284997,BAR domain-containing protein
DDB_G0287543,DDB_G0287543,BCAP29/BCAP31 family protein
DDB_G0268088,lvsG,BEACH domain-containing protein
DDB_G0269150,lvsA,BEACH domain-containing protein
DDB_G0271502,lvsD,BEACH domain-containing protein
DDB_G0271504,lvsB,BEACH domain-containing protein
DDB_G0280971,lvsC,BEACH domain-containing protein
DDB_G0282925,lvsE,BEACH domain-containing protein
DDB_G0284333,lvsF,BEACH domain-containing protein
DDB_G0280489,wdr46,BING4 C-terminal domain-containing protein
DDB_G0287891,bms1l,BMS1-like ribosome biogenesis protein
DDB_G0281839,DDB_G0281839,"BOP1, N-terminal domain-containing protein"
DDB_G0285875,DDB_G0285875,"BP28, C-terminal domain-containing protein"
DDB_G0283019,DDB_G0283019,BRCA2 repeat-containing protein
DDB_G0267468,adprt4,BRCT domain-containing protein
DDB_G0274693,DDB_G0274693,BRCT domain-containing protein
DDB_G0275653,xrcc1,BRCT domain-containing protein
DDB_G0279167,cut5,BRCT domain-containing protein
DDB_G0282299,DDB_G0282299,BRCT domain-containing protein
DDB_G0283857,lig3,BRCT domain-containing protein
DDB_G0284015,DDB_G0284015,BRCT domain-containing protein
DDB_G0289141,DDB_G0289141,BRCT domain-containing protein
DDB_G0292760,lig4,BRCT domain-containing protein
DDB_G0270170,DDB_G0270170,BRD family protein kinase
DDB_G0293800,DDB_G0293800,BRD family protein kinase
DDB_G0267958,DDB_G0267958,BRD group protein
DDB_G0274581,DDB_G0274581,BRD group protein
DDB_G0280777,DDB_G0280777,BRD group protein
DDB_G0282409,DDB_G0282409,BRD group protein
DDB_G0283859,DDB_G0283859,BRD group protein
DDB_G0277165,DDB_G0277165,BRSK subfamily protein kinase
DDB_G0285837,DDB_G0285837,BRWD group protein
DDB_G0269760,DDB_G0269760,BTB/POZ domain-containing protein
DDB_G0277429,DDB_G0277429,BTB/POZ domain-containing protein
DDB_G0279093,DDB_G0279093,BTB/POZ domain-containing protein
DDB_G0281767,DDB_G0281767,BTB/POZ domain-containing protein
DDB_G0282633,DDB_G0282633,BTB/POZ domain-containing protein
DDB_G0283263,migA,BTB/POZ domain-containing protein
DDB_G0286045,DDB_G0286045,BTB/POZ domain-containing protein
DDB_G0286387,DDB_G0286387,BTB/POZ domain-containing protein
DDB_G0288307,cnrM,BTB/POZ domain-containing protein
DDB_G0291330,kctd9,BTB/POZ domain-containing protein
DDB_G0292436,triA,BTB/POZ domain-containing protein
DDB_G0293756,DDB_G0293756,BTB/POZ domain-containing protein
DDB_G0292676,bub1,BUB family protein kinase
DDB_G0279977,bud32,BUD32 family protein kinase
DDB_G0279711,cmr,B_lectin domain-containing protein
DDB_G0295801,DDB_G0295801,B_lectin domain-containing protein
DDB_G0269362,frmB,Band 4.1 domain-containing protein
DDB_G0291157,cln3,Batten's disease protein Cln3 family protein
DDB_G0269788,DDB_G0269788,C-4 methyl sterol oxidase
DDB_G0270946,DDB_G0270946,C-4 methyl sterol oxidase
DDB_G0270356,erg2,C-8 sterol isomerase
DDB_G0279409,cbfA,C-module-binding factor
DDB_G0283375,scdA,C-terminal CASP domain-containing protein
DDB_G0269040,DDB_G0269040,C-type lectin domain-containing protein
DDB_G0289907,DDB_G0289907,C-type lectin domain-containing protein
DDB_G0269334,DDB_G0269334,C2 calcium-dependent membrane targeting domain-containing protein
DDB_G0269546,DDB_G0269546,C2 calcium-dependent membrane targeting domain-containing protein
DDB_G0271022,adcC,C2 calcium-dependent membrane targeting domain-containing protein
DDB_G0274395,adcB,C2 calcium-dependent membrane targeting domain-containing protein
DDB_G0280221,DDB_G0280221,C2 calcium-dependent membrane targeting domain-containing protein
DDB_G0290983,DDB_G0290983,C2 calcium-dependent membrane targeting domain-containing protein
DDB_G0271334,DDB_G0271334,C2 calcium/lipid-binding region-containing protein
DDB_G0289979,DDB_G0289979,C2 calcium/lipid-binding region-containing protein
DDB_G0291840,gacEE,C2 calcium/lipid-binding region-containing protein
DDB_G0292742,DDB_G0292742,C2 calcium/lipid-binding region-containing protein
DDB_G0269164,egeB,C2 domain-containing protein
DDB_G0272002,egeA,C2 domain-containing protein
DDB_G0272752,DDB_G0272752,C2 domain-containing protein
DDB_G0278101,cnrO,C2 domain-containing protein
DDB_G0278483,ngap,C2 domain-containing protein
DDB_G0280959,DG1113,C2 domain-containing protein
DDB_G0282055,DDB_G0282055,C2 domain-containing protein
DDB_G0284461,DDB_G0284461,C2 domain-containing protein
DDB_G0290753,DDB_G0290753,C2 domain-containing protein
DDB_G0290755,DDB_G0290755,C2 domain-containing protein
DDB_G0294603,DDB_G0294603,C2 domain-containing protein
DDB_G0285967,DDB_G0285967,C2 tensin-type domain-containing protein
DDB_G0287969,cnrN,C2 tensin-type domain-containing protein
DDB_G0292920,DDB_G0292920,C2 tensin-type domain-containing protein
DDB_G0269006,DDB_G0269006,C2H2-type zinc finger-containing protein
DDB_G0269610,gxcT,C2H2-type zinc finger-containing protein
DDB_G0270020,sf3a3,C2H2-type zinc finger-containing protein
DDB_G0271346,yod1,C2H2-type zinc finger-containing protein
DDB_G0272202,DDB_G0272202,C2H2-type zinc finger-containing protein
DDB_G0272672,DDB_G0272672,C2H2-type zinc finger-containing protein
DDB_G0274691,DDB_G0274691,C2H2-type zinc finger-containing protein
DDB_G0277375,DDB_G0277375,C2H2-type zinc finger-containing protein
DDB_G0278335,snrpC,C2H2-type zinc finger-containing protein
DDB_G0280121,DDB_G0280121,C2H2-type zinc finger-containing protein
DDB_G0281085,TFIIIA,C2H2-type zinc finger-containing protein
