Gene,Symbol,Synonyms,Description,Other IDs,Type of gene,Chromosome,Map location,Locus tag,Symbol from nomenclature authority,Full name from nomenclature authority,Nomenclature status,Other designations,Species,Taxonomy ID
DDB_G0280353,odhA,"DDBDRAFT_0206536, DDBDRAFT_0230197, DDB_0206536, DDB_0230197",2-oxoglutarate dehydrogenase E1 component,dictyBase: DDB_G0280353,protein-coding,3,,DDB_G0280353,,,,"[""alpha-ketoglutarate dehydrogenase"", ""oxoglutarate dehydrogenase""]",44689,352472
DDB_G0275029,odhB,"DDBDRAFT_0167380, DDBDRAFT_0230198, DDB_0167380, DDB_0230198",2-oxoglutarate dehydrogenase E2 component,dictyBase: DDB_G0275029,protein-coding,2,,DDB_G0275029,,,,"[""dihydrolipoamide S-succinyltransferase"", ""dihydrolipoyllysine-residue succinyltransferase""]",44689,352472
DDB_G0288127,ogdh,"DDBDRAFT_0219311, DDBDRAFT_0234117, DDB_0219311, DDB_0234117","2-oxoglutarate dehydrogenase, E1 subunit",dictyBase: DDB_G0288127,protein-coding,5,,DDB_G0288127,,,,[],44689,352472
DDB_G0268214,enoB,"DDBDRAFT_0189870, DDBDRAFT_0231356, DDB_0189870, DDB_0231356",2-phospho-D-glycerate hydrolase,dictyBase: DDB_G0268214,protein-coding,1,,DDB_G0268214,,,,"[""phosphopyruvate hydratase""]",44689,352472
DDB_G0283137,enoA,"DDBDRAFT_0218440, DDBDRAFT_0231355, DDB_0218440, DDB_0231355",2-phospho-D-glycerate hydrolase,dictyBase: DDB_G0283137,protein-coding,4,,DDB_G0283137,,,,"[""phosphopyruvate hydratase""]",44689,352472
DDB_G0282363,psmA1,"DDBDRAFT_0204226, DDBDRAFT_0214956, DDB_0204226, DDB_0214956",20S proteasome subunit C2,dictyBase: DDB_G0282363,protein-coding,3,,DDB_G0282363,,,,"[""20S proteasome subunit alpha-1"", ""proteasome subunit alpha type 1""]",44689,352472
DDB_G0267408,psmA3,"DDBDRAFT_0189348, DDBDRAFT_0191264, DDB_0189348, DDB_0191264",20S proteasome subunit C8,dictyBase: DDB_G0267408,protein-coding,1,,DDB_G0267408,,,,"[""20S proteasome subunit alpha-3"", ""proteasome subunit alpha type 3""]",44689,352472
DDB_G0292122,psmA2,"DDBDRAFT_0184241, DDBDRAFT_0232935, DDB_0184241, DDB_0232935",20S proteasome subunit alpha-2,dictyBase: DDB_G0292122,protein-coding,6,,DDB_G0292122,,,,"[""proteasome subunit alpha type 2""]",44689,352472
DDB_G0273909,psmB4-2,"DDBDRAFT_0217368, DDBDRAFT_0266501, DDB_0217368, DDB_0266501",20S proteasome subunit alpha-4,dictyBase: DDB_G0273909,protein-coding,2,,DDB_G0273909,,,,"[""proteasome subunit beta type 4""]",44689,352472
DDB_G0280969,psmA4,"DDBDRAFT_0204055, DDBDRAFT_0214953, DDB_0204055, DDB_0214953",20S proteasome subunit alpha-4,dictyBase: DDB_G0280969,protein-coding,3,,DDB_G0280969,,,,"[""proteasome subunit alpha type 4""]",44689,352472
DDB_G0268538,psmA5,"DDBDRAFT_0216562, DDBDRAFT_0232930, DDB_0216562, DDB_0232930",20S proteasome subunit alpha-5,dictyBase: DDB_G0268538,protein-coding,1,,DDB_G0268538,,,,"[""proteasome subunit alpha type 5""]",44689,352472
DDB_G0278847,psmA6,"DDBDRAFT_0206233, DDBDRAFT_0232956, DDB_0206233, DDB_0232956",20S proteasome subunit alpha-6,dictyBase: DDB_G0278847,protein-coding,3,,DDB_G0278847,,,,"[""proteasome subunit alpha type 6""]",44689,352472
DDB_G0272831,psmA7,"DDBDRAFT_0185059, DDBDRAFT_0217080, DDB_0185059, DDB_0217080",20S proteasome subunit alpha-7,dictyBase: DDB_G0272831,protein-coding,2,,DDB_G0272831,,,,"[""proteasome subunit alpha type 7""]",44689,352472
DDB_G0272969,psmB1,"DDBDRAFT_0217063, DDBDRAFT_0232957, DDB_0217063, DDB_0232957",20S proteasome subunit beta-1,dictyBase: DDB_G0272969,protein-coding,2,,DDB_G0272969,,,,"[""proteasome subunit beta type 1""]",44689,352472
DDB_G0269472,psmB2,"DDBDRAFT_0190287, DDBDRAFT_0232958, DDB_0190287, DDB_0232958",20S proteasome subunit beta-2,dictyBase: DDB_G0269472,protein-coding,1,,DDB_G0269472,,,,"[""proteasome subunit beta type 2""]",44689,352472
DDB_G0269772,psmB3,"DDBDRAFT_0190542, DDBDRAFT_0232932, DDB_0190542, DDB_0232932",20S proteasome subunit beta-3,dictyBase: DDB_G0269772,protein-coding,1,,DDB_G0269772,,,,"[""proteasome subunit beta type 3""]",44689,352472
DDB_G0273163,psmB4-1,"DDBDRAFT_0168029, DDBDRAFT_0232934, DDB_0168029, DDB_0232934",20S proteasome subunit beta-4,dictyBase: DDB_G0273163,protein-coding,2,,DDB_G0273163,,,,"[""proteasome subunit beta type 4""]",44689,352472
DDB_G0293784,psmB5,"DDBDRAFT_0219895, DDBDRAFT_0232959, DDB_0219895, DDB_0232959",20S proteasome subunit beta-5,dictyBase: DDB_G0293784,protein-coding,6,,DDB_G0293784,,,,"[""proteasome subunit beta type 5""]",44689,352472
DDB_G0267390,psmB6,"DDBDRAFT_0189428, DDBDRAFT_0191199, DDB_0189428, DDB_0191199",20S proteasome subunit beta-6,dictyBase: DDB_G0267390,protein-coding,1,,DDB_G0267390,,,,"[""proteasome subunit beta type 6""]",44689,352472
DDB_G0283679,psmB7,"DDBDRAFT_0185624, DDBDRAFT_0232933, DDB_0185624, DDB_0232933",20S proteasome subunit beta-7,dictyBase: DDB_G0283679,protein-coding,4,,DDB_G0283679,,,,"[""proteasome subunit beta type 7""]",44689,352472
DDB_G0270784,psmC1,"DDBDRAFT_0202018, DDBDRAFT_0232964, DDB_0202018, DDB_0232964",26S protease regulatory subunit 4,dictyBase: DDB_G0270784,protein-coding,1,,DDB_G0270784,,,,"[""26S proteasome ATPase 1 subunit"", ""TAT binding protein alpha""]",44689,352472
DDB_G0284415,psmC3,"DDBDRAFT_0186002, DDBDRAFT_0232967, DDB_0186002, DDB_0232967",26S protease regulatory subunit 6A,dictyBase: DDB_G0284415,protein-coding,4,,DDB_G0284415,,,,"[""26S proteasome ATPase 3 subunit"", ""TAT-binding protein 1""]",44689,352472
DDB_G0289003,psmC4,"DDBDRAFT_0188209, DDBDRAFT_0191435, DDB_0188209, DDB_0191435",26S protease regulatory subunit 6B,dictyBase: DDB_G0289003,protein-coding,5,,DDB_G0289003,,,,"[""26S proteasome subunit ATPase 4"", ""HIV TAT binding-protein-related""]",44689,352472
DDB_G0276917,psmC2,"DDBDRAFT_0168337, DDBDRAFT_0232966, DDB_0168337, DDB_0232966",26S protease regulatory subunit 7,dictyBase: DDB_G0276917,protein-coding,2,,DDB_G0276917,,,,"[""26S proteasome ATPase 2 subunit""]",44689,352472
DDB_G0292382,psmC5,"DDBDRAFT_0184411, DDBDRAFT_0216230, DDB_0184411, DDB_0216230",26S protease regulatory subunit 8,dictyBase: DDB_G0292382,protein-coding,6,,DDB_G0292382,,,,"[""26S proteasome subunit ATPase 5"", ""HIV TAT binding-protein-related""]",44689,352472
DDB_G0284517,psmC6,"DDBDRAFT_0186051, DDBDRAFT_0232968, DDB_0186051, DDB_0232968",26S protease regulatory subunit S10B,dictyBase: DDB_G0284517,protein-coding,4,,DDB_G0284517,,,,"[""26S proteasome subunit ATPase 6""]",44689,352472
DDB_G0287953,psmD1,"DDBDRAFT_0187705, DDBDRAFT_0232977, DDB_0187705, DDB_0232977",26S proteasome non-ATPase regulatory subunit 1,dictyBase: DDB_G0287953,protein-coding,5,,DDB_G0287953,,,,"[""26S proteasome regulatory subunit S1""]",44689,352472
DDB_G0289189,psmD10,"DDBDRAFT_0188298, DDBDRAFT_0232993, DDB_0188298, DDB_0232993",26S proteasome non-ATPase regulatory subunit 10,dictyBase: DDB_G0289189,protein-coding,5,,DDB_G0289189,,,,"[""26S proteasome regulatory subunit p28"", ""ankyrin repeat-containing protein""]",44689,352472
DDB_G0281315,psmD11,"DDBDRAFT_0218287, DDBDRAFT_0232994, DDB_0218287, DDB_0232994",26S proteasome non-ATPase regulatory subunit 11,dictyBase: DDB_G0281315,protein-coding,3,,DDB_G0281315,,,,"[""26S proteasome regulatory subunit S9""]",44689,352472
DDB_G0281051,psmD12,"DDBDRAFT_0203976, DDBDRAFT_0232995, DDB_0203976, DDB_0232995",26S proteasome non-ATPase regulatory subunit 12,dictyBase: DDB_G0281051,protein-coding,3,,DDB_G0281051,,,,"[""26S proteasome regulatory subunit p55""]",44689,352472
DDB_G0285105,psmD13,"DDBDRAFT_0186342, DDBDRAFT_0233004, DDB_0186342, DDB_0233004",26S proteasome non-ATPase regulatory subunit 13,dictyBase: DDB_G0285105,protein-coding,4,,DDB_G0285105,,,,"[""26S proteasome regulatory subunit S11""]",44689,352472
DDB_G0272566,psmD14,"DDBDRAFT_0168883, DDBDRAFT_0191298, DDB_0168883, DDB_0191298",26S proteasome non-ATPase regulatory subunit 14,dictyBase: DDB_G0272566,protein-coding,2,,DDB_G0272566,,,,[],44689,352472
DDB_G0293752,psmD2,"DDBDRAFT_0192101, DDBDRAFT_0232978, DDB_0192101, DDB_0232978",26S proteasome non-ATPase regulatory subunit 2,dictyBase: DDB_G0293752,protein-coding,6,,DDB_G0293752,,,,"[""26S proteasome regulatory subunit S2""]",44689,352472
DDB_G0288621,psmD3,"DDBDRAFT_0219362, DDBDRAFT_0232980, DDB_0219362, DDB_0232980",26S proteasome non-ATPase regulatory subunit 3,dictyBase: DDB_G0288621,protein-coding,5,,DDB_G0288621,,,,"[""26S proteasome regulatory subunit S3""]",44689,352472
DDB_G0275775,psmD4,"DDBDRAFT_0202512, DDBDRAFT_0232981, DDB_0202512, DDB_0232981",26S proteasome non-ATPase regulatory subunit 4,dictyBase: DDB_G0275775,protein-coding,2,,DDB_G0275775,,,,"[""26S proteasome regulatory subunit S5A"", ""type A von Willebrand factor domain-containing protein"", ""ubiquitin interacting motif domain-containing protein""]",44689,352472
DDB_G0270188,psmD6,"DDBDRAFT_0190867, DDBDRAFT_0232985, DDB_0190867, DDB_0232985",26S proteasome non-ATPase regulatory subunit 6,dictyBase: DDB_G0270188,protein-coding,1,,DDB_G0270188,,,,"[""26S proteasome regulatory subunit S10""]",44689,352472
DDB_G0279633,psmD7,"DDBDRAFT_0205949, DDBDRAFT_0232987, DDB_0205949, DDB_0232987",26S proteasome non-ATPase regulatory subunit 7,dictyBase: DDB_G0279633,protein-coding,3,,DDB_G0279633,,,,"[""26S proteasome regulatory subunit S12"", ""Mov34 domain-containing protein""]",44689,352472
DDB_G0272564,psmD8-1,"DDBDRAFT_0167995, DDBDRAFT_0185109, DDB_0167995, DDB_0185109",26S proteasome non-ATPase regulatory subunit 8,dictyBase: DDB_G0272564,protein-coding,2,,DDB_G0272564,,,,"[""26S proteasome regulatory subunit S14""]",44689,352472
DDB_G0273979,psmD8-2,"DDBDRAFT_0217402, DDBDRAFT_0266350, DDB_0217402, DDB_0266350",26S proteasome non-ATPase regulatory subunit 8,dictyBase: DDB_G0273979,protein-coding,2,,DDB_G0273979,,,,"[""26S proteasome regulatory subunit S14""]",44689,352472
DDB_G0275753,psmD9,"DDBDRAFT_0202482, DDBDRAFT_0232989, DDB_0202482, DDB_0232989",26S proteasome non-ATPase regulatory subunit 9,dictyBase: DDB_G0275753,protein-coding,2,,DDB_G0275753,,,,"[""26S proteasome regulatory subunit p27"", ""PDZ domain-containing protein""]",44689,352472
DDB_G0268652,DDB_G0268652,"DDBDRAFT_0189923, DDBDRAFT_0238884, DDB_0189923, DDB_0238884","3',5'-bisphosphate nucleotidase",dictyBase: DDB_G0268652,protein-coding,1,,DDB_G0268652,,,,"[""3',5'-bisphosphonucleoside 3'-phosphohydrolase"", ""HAL2 family protein"", ""inositol monophosphatase""]",44689,352472
DDB_G0275663,bpnt1,"DDBDRAFT_0167248, DDBDRAFT_0266708, DDB_0167248, DDB_0266708","3',5'-bisphosphate nucleotidase 1",dictyBase: DDB_G0275663,protein-coding,2,,DDB_G0275663,,,,"[""bisphosphate nucleotidase""]",44689,352472
DDB_G0271572,exosc10,"DDBDRAFT_0203581, DDBDRAFT_0233752, DDB_0203581, DDB_0233752",3'-5' exonuclease,dictyBase: DDB_G0271572,protein-coding,2,,DDB_G0271572,,,,"[""exosome component 10""]",44689,352472
DDB_G0293546,mre11,"DDBDRAFT_0191996, DDBDRAFT_0232403, DDB_0191996, DDB_0232403",3'-5' exonuclease,dictyBase: DDB_G0293546,protein-coding,6,,DDB_G0293546,,,,"[""DNA repair exonuclease""]",44689,352472
DDB_G0267464,polA,"DDBDRAFT_0189782, DDBDRAFT_0191131, DDB_0189782, DDB_0191131",3'-5' exonuclease domain-containing protein,dictyBase: DDB_G0267464,protein-coding,1,,DDB_G0267464,,,,"[""5'-3' exonuclease domain-containing protein"", ""DNA polymerase A family protein"", ""mitochondrial DNA polymerase A""]",44689,352472
DDB_G0278079,exdl2A,"DDBDRAFT_0204407, DDBDRAFT_0238340, DDB_0204407, DDB_0238340",3'-5' exonuclease domain-containing protein,dictyBase: DDB_G0278079,protein-coding,3,,DDB_G0278079,,,,[],44689,352472
DDB_G0278593,exdl2B,"DDBDRAFT_0218051, DDBDRAFT_0238341, DDB_0218051, DDB_0238341",3'-5' exonuclease domain-containing protein,dictyBase: DDB_G0278593,protein-coding,3,,DDB_G0278593,,,,[],44689,352472
DDB_G0282387,DDB_G0282387,"DDBDRAFT_0204204, DDBDRAFT_0238342, DDB_0204204, DDB_0238342",3'-5' exonuclease domain-containing protein,dictyBase: DDB_G0282387,protein-coding,3,,DDB_G0282387,,,,[],44689,352472
DDB_G0279037,coq3,"DDBDRAFT_0215313, DDBDRAFT_0231592, DDB_0215313, DDB_0231592","3,4-dihydroxy-5-hexaprenylbenzoate methyltransferase",dictyBase: DDB_G0279037,protein-coding,3,,DDB_G0279037,,,,"[""hexaprenyldihydroxybenzoate methyltransferase"", ""methyltransferase type 11 domain-containing protein""]",44689,352472
DDB_G0272883,ksrA-1,"DDBDRAFT_0202992, DDBDRAFT_0232044, DDB_0202992, DDB_0232044",3-dehydrosphinganine reductase,dictyBase: DDB_G0272883,protein-coding,2,,DDB_G0272883,,,,"[""3-ketosphinganine reductase"", ""short-chain dehydrogenase/reductase family protein""]",44689,352472
DDB_G0274015,ksrA-2,"DDBDRAFT_0217420, DDBDRAFT_0266928, DDB_0217420, DDB_0266928",3-dehydrosphinganine reductase,dictyBase: DDB_G0274015,protein-coding,2,,DDB_G0274015,,,,"[""3-ketosphinganine reductase"", ""short-chain dehydrogenase/reductase family protein""]",44689,352472
DDB_G0282743,haao,"DDBDRAFT_0204961, DDBDRAFT_0231359, DDB_0204961, DDB_0231359","3-hydroxyanthranilate 3,4-dioxygenase",dictyBase: DDB_G0282743,protein-coding,3,,DDB_G0282743,,,,[],44689,352472
DDB_G0292566,hibA,"DDBDRAFT_0184496, DDBDRAFT_0216217, DDB_0184496, DDB_0216217",3-hydroxyisobutyrate dehydrogenase,dictyBase: DDB_G0292566,protein-coding,6,,DDB_G0292566,,,,[],44689,352472
DDB_G0267536,hibch,"DDBDRAFT_0189353, DDBDRAFT_0233831, DDB_0189353, DDB_0233831",3-hydroxyisobutyryl-Coenzyme A hydrolase,dictyBase: DDB_G0267536,protein-coding,1,,DDB_G0267536,,,,[],44689,352472
DDB_G0274339,DDB_G0274339,"DDBDRAFT_0167887, DDB_0167887",3-ketoacyl-CoA thiolase,dictyBase: DDB_G0274339,protein-coding,2,,DDB_G0274339,,,,"[""acetyl-CoA C-acyltransferase""]",44689,352472
DDB_G0268020,bkdB,"DDBDRAFT_0189722, DDBDRAFT_0230185, DDB_0189722, DDB_0230185",3-methyl-2-oxobutanoate dehydrogenase,dictyBase: DDB_G0268020,protein-coding,1,,DDB_G0268020,,,,"[""branched-chain alpha-keto acid dehydrogenase E1 beta chain""]",44689,352472
DDB_G0286335,bkdA,"DDBDRAFT_0218801, DDBDRAFT_0230190, DDB_0218801, DDB_0230190",3-methyl-2-oxobutanoate dehydrogenase,dictyBase: DDB_G0286335,protein-coding,4,,DDB_G0286335,,,,"[""branched-chain alpha-keto acid dehydrogenase E1 alpha chain""]",44689,352472
DDB_G0287377,mccA,"DDBDRAFT_0187457, DDBDRAFT_0230065, DDB_0187457, DDB_0230065",3-methylcrotonyl-CoA:carbon dioxide ligase alpha subunit,dictyBase: DDB_G0287377,protein-coding,5,,DDB_G0287377,,,,"[""methylcrotonyl-CoA carboxylase""]",44689,352472
DDB_G0271960,mccB,"DDBDRAFT_0168580, DDBDRAFT_0234167, DDB_0168580, DDB_0234167",3-methylcrotonyl-CoA:carbon dioxide ligase beta subunit,dictyBase: DDB_G0271960,protein-coding,2,,DDB_G0271960,,,,"[""methylcrotonyl-CoA carboxylase""]",44689,352472
DDB_G0288105,oxct,"DDBDRAFT_0187790, DDBDRAFT_0235256, DDB_0187790, DDB_0235256",3-oxoacid CoA-transferase,dictyBase: DDB_G0288105,protein-coding,5,,DDB_G0288105,,,,[],44689,352472
DDB_G0282357,pksB,"DDBDRAFT_0204923, DDBDRAFT_0214951, DDB_0204923, DDB_0214951",3-oxoacyl-[acyl-carrier protein] reductase,dictyBase: DDB_G0282357,protein-coding,3,,DDB_G0282357,,,,"[""short-chain dehydrogenase/reductase family protein""]",44689,352472
DDB_G0286557,pten,"DDBDRAFT_0191093, DDBDRAFT_0218851, DDB_0191093, DDB_0218851",3-phosphatidylinositol 3-phosphatase,dictyBase: DDB_G0286557,protein-coding,4,,DDB_G0286557,,,,"[""protein tyrosine phosphatase""]",44689,352472
DDB_G0281071,serA,"DDBDRAFT_0203991, DDBDRAFT_0230052, DDB_0203991, DDB_0230052",3-phosphoglycerate dehydrogenase,dictyBase: DDB_G0281071,protein-coding,3,,DDB_G0281071,,,,[],44689,352472
DDB_G0279081,abpB,"DDBDRAFT_0205032, DDBDRAFT_0214810, DDB_0205032, DDB_0214810",34 kDa actin-binding protein,dictyBase: DDB_G0279081,protein-coding,3,,DDB_G0279081,,,,"[""actin binding protein"", ""actin bundling protein""]",44689,352472
DDB_G0281487,DDB_G0281487,"DDBDRAFT_0205620, DDBDRAFT_0233059, DDB_0205620, DDB_0233059",3beta-hydroxysteroid dehydrogenase,dictyBase: DDB_G0281487,protein-coding,3,,DDB_G0281487,,,,[],44689,352472
DDB_G0268104,gabT,"DDBDRAFT_0189777, DDBDRAFT_0231448, DDB_0189777, DDB_0231448",4-aminobutyrate transaminase,dictyBase: DDB_G0268104,protein-coding,1,,DDB_G0268104,,,,"[""GABA transaminase"", ""GABA transferase""]",44689,352472
DDB_G0284743,4cl3,"DDBDRAFT_0186164, DDBDRAFT_0266358, DDB_0186164, DDB_0266358",4-coumarate-CoA ligase,dictyBase: DDB_G0284743,protein-coding,4,,DDB_G0284743,,,,[],44689,352472
DDB_G0284745,4cl2,"DDBDRAFT_0186166, DDBDRAFT_0231736, DDB_0186166, DDB_0231736",4-coumarate-CoA ligase,dictyBase: DDB_G0284745,protein-coding,4,,DDB_G0284745,,,,[],44689,352472
DDB_G0284831,4cl1,"DDBDRAFT_0218636, DDBDRAFT_0231737, DDB_0218636, DDB_0231737",4-coumarate-CoA ligase,dictyBase: DDB_G0284831,protein-coding,4,,DDB_G0284831,,,,[],44689,352472
DDB_G0281241,coq2,"DDBDRAFT_0204101, DDBDRAFT_0231591, DDB_0204101, DDB_0231591",4-hydroxybenzoate nonaprenyltransferase,dictyBase: DDB_G0281241,protein-coding,3,,DDB_G0281241,,,,"[""para-hydroxybenzoate nonaprenyltransferase""]",44689,352472
DDB_G0277511,hpd,"DDBDRAFT_0203373, DDBDRAFT_0231603, DDBDRAFT_0231604, DDB_0203373, DDB_0231603, DDB_0231604",4-hydroxyphenylpyruvate dioxygenase,dictyBase: DDB_G0277511,protein-coding,2,,DDB_G0277511,,,,"[""p-hydroxyphenylpyruvic hydroxylase""]",44689,352472
DDB_G0273429,hpdl-1,"DDBDRAFT_0168206, DDBDRAFT_0302487, DDB_0168206, DDB_0302487",4-hydroxyphenylpyruvate dioxygenase-like protein,dictyBase: DDB_G0273429,protein-coding,2,,DDB_G0273429,,,,[],44689,352472
DDB_G0273513,hpdl-2,"DDBDRAFT_0217170, DDBDRAFT_0302488, DDB_0217170, DDB_0302488",4-hydroxyphenylpyruvate dioxygenase-like protein,dictyBase: DDB_G0273513,protein-coding,2,,DDB_G0273513,,,,[],44689,352472
DDB_G0286117,rps10,"DDBDRAFT_0186821, DDBDRAFT_0191166, DDB_0186821, DDB_0191166",40S ribosomal protein S10,dictyBase: DDB_G0286117,protein-coding,4,,DDB_G0286117,,,,[],44689,352472
DDB_G0282601,rps11,"DDBDRAFT_0204861, DDBDRAFT_0230027, DDB_0204861, DDB_0230027",40S ribosomal protein S11,dictyBase: DDB_G0282601,protein-coding,3,,DDB_G0282601,,,,[],44689,352472
DDB_G0284237,rps12,"DDBDRAFT_0185915, DDBDRAFT_0230044, DDB_0185915, DDB_0230044",40S ribosomal protein S12,dictyBase: DDB_G0284237,protein-coding,4,,DDB_G0284237,,,,[],44689,352472
DDB_G0284533,rps13,"DDBDRAFT_0186065, DDBDRAFT_0230055, DDB_0186065, DDB_0230055",40S ribosomal protein S13,dictyBase: DDB_G0284533,protein-coding,4,,DDB_G0284533,,,,[],44689,352472
DDB_G0291526,rps14,"DDBDRAFT_0183952, DDBDRAFT_0230056, DDB_0183952, DDB_0230056",40S ribosomal protein S14,dictyBase: DDB_G0291526,protein-coding,6,,DDB_G0291526,,,,[],44689,352472
DDB_G0285561,rps15,"DDBDRAFT_0186570, DDBDRAFT_0231047, DDB_0186570, DDB_0231047",40S ribosomal protein S15,dictyBase: DDB_G0285561,protein-coding,4,,DDB_G0285561,,,,[],44689,352472
DDB_G0276457,rps15a,"DDBDRAFT_0167031, DDBDRAFT_0185069, DDB_0167031, DDB_0185069",40S ribosomal protein S15a,dictyBase: DDB_G0276457,protein-coding,2,,DDB_G0276457,,,,[],44689,352472
DDB_G0284093,rps16,"DDBDRAFT_0185840, DDBDRAFT_0231057, DDB_0185840, DDB_0231057",40S ribosomal protein S16,dictyBase: DDB_G0284093,protein-coding,4,,DDB_G0284093,,,,[],44689,352472
DDB_G0290141,rps17,"DDBDRAFT_0188745, DDBDRAFT_0191513, DDB_0188745, DDB_0191513",40S ribosomal protein S17,dictyBase: DDB_G0290141,protein-coding,5,,DDB_G0290141,,,,[],44689,352472
DDB_G0276415,rps18,"DDBDRAFT_0167056, DDBDRAFT_0231058, DDB_0167056, DDB_0231058",40S ribosomal protein S18,dictyBase: DDB_G0276415,protein-coding,2,,DDB_G0276415,,,,[],44689,352472
DDB_G0279207,rps19,"DDBDRAFT_0205649, DDBDRAFT_0231059, DDB_0205649, DDB_0231059",40S ribosomal protein S19,dictyBase: DDB_G0279207,protein-coding,3,,DDB_G0279207,,,,[],44689,352472
DDB_G0278429,rps20,"DDBDRAFT_0205449, DDBDRAFT_0231060, DDB_0205449, DDB_0231060",40S ribosomal protein S20,dictyBase: DDB_G0278429,protein-coding,3,,DDB_G0278429,,,,[],44689,352472
DDB_G0293700,rps21,"DDBDRAFT_0219871, DDBDRAFT_0231061, DDB_0219871, DDB_0231061",40S ribosomal protein S21,dictyBase: DDB_G0293700,protein-coding,6,,DDB_G0293700,,,,[],44689,352472
DDB_G0272250,rps23,"DDBDRAFT_0203686, DDBDRAFT_0231062, DDB_0203686, DDB_0231062",40S ribosomal protein S23,dictyBase: DDB_G0272250,protein-coding,2,,DDB_G0272250,,,,[],44689,352472
