pathway	description	genes_in_pathway	matches	%_match	pValue	adj.pValue	overlap
decreased sexual fusion	"decreased sexual fusion"	3	1	33.33	0.0227781580530843	0.40939121906219	8620686
decreased sporulation	"decreased sporulation"	79	3	3.8	0.0221753437581954	0.40939121906219	8616333,8622683,8628979
delayed development	"delayed development"	74	3	4.05	0.0186667052637139	0.40939121906219	8616748,8618358,8620840
increased  glucose level	"increased  glucose level"	3	1	33.33	0.0227781580530843	0.40939121906219	8617116
increased resistance to N-Phenylthiourea	"increased resistance to N-Phenylthiourea"	3	1	33.33	0.0227781580530843	0.40939121906219	8620948
mitotic G1 phase arrest	"mitotic G1 phase arrest"	3	1	33.33	0.0227781580530843	0.40939121906219	8629459
abolished aggregation	"abolished aggregation"	83	3	3.61	0.0252248724230851	0.422366425875053	8616748,8620948,8621440
abolished stream development	"abolished stream development"	33	2	6.06	0.0260406367832739	0.422366425875053	8618769,8621440
decreased establishment of cell polarity	"decreased establishment of cell polarity"	33	2	6.06	0.0260406367832739	0.422366425875053	8618769,8624865
decreased mound size	"decreased mound size"	33	2	6.06	0.0260406367832739	0.422366425875053	8617116,8618358
aberrant adaptation of signaling pathway	"aberrant adaptation of signaling pathway"	4	1	25	0.0302572782271765	0.447135333801608	8620948
aberrant taxis	"aberrant taxis"	4	1	25	0.0302572782271765	0.447135333801608	8620948
abolished chemotaxis to folate	"abolished chemotaxis to folate"	4	1	25	0.0302572782271765	0.447135333801608	8620948
decreased defense response to bacterium	"decreased defense response to bacterium"	4	1	25	0.0302572782271765	0.447135333801608	8626508
aberrant actin filament organization	"aberrant actin filament organization"	39	2	5.13	0.03550294135469	0.472781041712185	8616748,8624865
aberrant cell-cell adhesion	"aberrant cell-cell adhesion"	5	1	20	0.0376802935499937	0.472781041712185	8624865
aberrant microtubule cytoskeleton organization	"aberrant microtubule cytoskeleton organization"	5	1	20	0.0376802935499937	0.472781041712185	8618769
abolished actin filament polymerization	"abolished actin filament polymerization"	5	1	20	0.0376802935499937	0.472781041712185	8620948
abolished vegetative growth	"abolished vegetative growth"	38	2	5.26	0.0338449496960295	0.472781041712185	8620686,8620948
decreased protein secretion	"decreased protein secretion"	5	1	20	0.0376802935499937	0.472781041712185	8629459
delayed slug development	"delayed slug development"	5	1	20	0.0376802935499937	0.472781041712185	8620421
increased membrane ruffling	"increased membrane ruffling"	5	1	20	0.0376802935499937	0.472781041712185	8616748
aberrant cell morphology	"aberrant cell morphology"	43	2	4.65	0.0424400226987963	0.516494222147013	8616748,8618769
aberrant chemotaxis	"aberrant chemotaxis"	6	1	16.67	0.0450476163677094	0.516494222147013	8620948
decreased activation of adenylate cyclase activity	"decreased activation of adenylate cyclase activity"	6	1	16.67	0.0450476163677094	0.516494222147013	8620948
decreased rate of endocytosis	"decreased rate of endocytosis"	6	1	16.67	0.0450476163677094	0.516494222147013	8616748
increased gene expression	"increased gene expression"	44	2	4.55	0.0442478617921326	0.516494222147013	8620840,8629459
aberrant signal transduction	"aberrant signal transduction"	7	1	14.29	0.0523596560586148	0.570806086540637	8620948
abolished cell migration to prestalk region	"abolished cell migration to prestalk region"	7	1	14.29	0.0523596560586148	0.570806086540637	8624865
delayed prestalk gene expression	"delayed prestalk gene expression"	7	1	14.29	0.0523596560586148	0.570806086540637	8624865
aberrant cortical actin cytoskeleton organization	"aberrant cortical actin cytoskeleton organization"	8	1	12.5	0.0596168190540307	0.609925918014314	8620948
aberrant late culminant morphology	"aberrant late culminant morphology"	8	1	12.5	0.0596168190540307	0.609925918014314	8626569
abolished activation of adenylate cyclase activity	"abolished activation of adenylate cyclase activity"	8	1	12.5	0.0596168190540307	0.609925918014314	8620948
decreased positive regulation of GTPase activity	"decreased positive regulation of GTPase activity"	8	1	12.5	0.0596168190540307	0.609925918014314	8620948
aberrant actin filament polymerization	"aberrant actin filament polymerization"	9	1	11.11	0.0668195088590702	0.663208558078831	8616748
aberrant spore morphology	"aberrant spore morphology"	9	1	11.11	0.0668195088590702	0.663208558078831	8618175
aberrant calcium-mediated signaling	"aberrant calcium-mediated signaling"	10	1	10	0.0739681260732648	0.664713565388122	8620948
aberrant cellular process	"aberrant cellular process"	10	1	10	0.0739681260732648	0.664713565388122	8620512
aberrant phagocytosis	"aberrant phagocytosis"	10	1	10	0.0739681260732648	0.664713565388122	8620948
aberrant slug migration	"aberrant slug migration"	58	2	3.45	0.072307214267842	0.664713565388122	8628187,8629315
aberrant stalk morphogenesis	"aberrant stalk morphogenesis"	10	1	10	0.0739681260732648	0.664713565388122	8620421
decreased cGMP-mediated signaling	"decreased cGMP-mediated signaling"	10	1	10	0.0739681260732648	0.664713565388122	8620948
decreased protein localization to plasma membrane	"decreased protein localization to plasma membrane"	10	1	10	0.0739681260732648	0.664713565388122	8620948
aberrant aggregation	"aberrant aggregation"	62	2	3.23	0.0811578021255275	0.68316377738577	8620840,8628187
aberrant cellular homeostasis	"aberrant cellular homeostasis"	11	1	9.09	0.0810630684110422	0.68316377738577	8620948
aberrant defense response to bacterium	"aberrant defense response to bacterium"	11	1	9.09	0.0810630684110422	0.68316377738577	8620966
aberrant slug development	"aberrant slug development"	11	1	9.09	0.0810630684110422	0.68316377738577	8620948
abolished establishment of cell polarity	"abolished establishment of cell polarity"	11	1	9.09	0.0810630684110422	0.68316377738577	8616748
aberrant cellular metabolic process	"aberrant cellular metabolic process"	12	1	8.33	0.0881047307220685	0.697495784883042	8629459
abolished oscillatory cAMP signaling	"abolished oscillatory cAMP signaling"	12	1	8.33	0.0881047307220685	0.697495784883042	8621440
decreased response to Gram-negative bacterium	"decreased response to Gram-negative bacterium"	12	1	8.33	0.0881047307220685	0.697495784883042	8625510
development arrests at tipped mound stage	"development arrests at tipped mound stage"	12	1	8.33	0.0881047307220685	0.697495784883042	8620948
increased cell death	"increased cell death"	12	1	8.33	0.0881047307220685	0.697495784883042	8620948
aberrant protein localization	"aberrant protein localization"	13	1	7.69	0.0950935050114456	0.735316056193155	8620948
delayed development of tipped mound	"delayed development of tipped mound"	13	1	7.69	0.0950935050114456	0.735316056193155	8628979
aberrant extracellular cAMP signaling pathway	"aberrant extracellular cAMP signaling pathway"	14	1	7.14	0.102029780459771	0.771020500065315	8620948
aberrant pseudopodium formation	"aberrant pseudopodium formation"	14	1	7.14	0.102029780459771	0.771020500065315	8629357
decreased phototaxis	"decreased phototaxis"	15	1	6.67	0.108913943443061	0.813795195389161	8626698
decreased cell-cell adhesion	"decreased cell-cell adhesion"	16	1	6.25	0.11574637755253	0.845838912883871	8620686
decreased prestalk gene expression	"decreased prestalk gene expression"	16	1	6.25	0.11574637755253	0.845838912883871	8624865
increased filopodium formation	"increased filopodium formation"	17	1	5.88	0.122527463614243	0.88566047068991	8616748
abolished gene expression	"abolished gene expression"	19	1	5.26	0.135937101189844	0.961682683949426	8618769
decreased socially cooperative development	"decreased socially cooperative development"	19	1	5.26	0.135937101189844	0.961682683949426	8625985
decreased gene expression	"decreased gene expression"	86	2	2.33	0.140057820430362	0.977388211019058	8620840,8620948
decreased protein kinase activation	"decreased protein kinase activation"	20	1	5	0.142566400705036	0.977388211019058	8620948
increased number of mound tips	"increased number of mound tips"	20	1	5	0.142566400705036	0.977388211019058	8622683
aberrant DNA repair	"aberrant DNA repair"	1	0	0	1	1	
aberrant G protein-coupled receptor signaling	"aberrant G protein-coupled receptor signaling"	1	0	0	1	1	
aberrant GABA signaling pathway	"aberrant GABA signaling pathway"	3	0	0	1	1	
aberrant Golgi localization	"aberrant Golgi localization"	3	0	0	1	1	
aberrant actin cytoskeleton organization	"aberrant actin cytoskeleton organization"	6	0	0	1	1	
aberrant activation of GTPase activity	"aberrant activation of GTPase activity"	6	0	0	1	1	
aberrant activation of adenylate cyclase activity	"aberrant activation of adenylate cyclase activity"	7	0	0	1	1	
aberrant autophagic cell death	"aberrant autophagic cell death"	3	0	0	1	1	
aberrant autophagy	"aberrant autophagy"	3	0	0	1	1	
aberrant binding	"aberrant binding"	3	0	0	1	1	
aberrant bleb assembly	"aberrant bleb assembly"	1	0	0	1	1	
aberrant catalytic activity	"aberrant catalytic activity"	1	0	0	1	1	
aberrant cell adhesion	"aberrant cell adhesion"	1	0	0	1	1	
aberrant cell cycle	"aberrant cell cycle"	5	0	0	1	1	
aberrant cell differentiation	"aberrant cell differentiation"	2	0	0	1	1	
aberrant cell migration to prestalk region	"aberrant cell migration to prestalk region"	3	0	0	1	1	
aberrant cell motility	"aberrant cell motility"	8	0	0	1	1	
aberrant cell separation during cytokinesis	"aberrant cell separation during cytokinesis"	15	0	0	1	1	
aberrant cellular component organization	"aberrant cellular component organization"	2	0	0	1	1	
aberrant cellular localization	"aberrant cellular localization"	0	0	NaN	1	1	
aberrant cellular response to extracellular stimulus	"aberrant cellular response to extracellular stimulus"	8	0	0	1	1	
aberrant cellular response to fluid shear stress	"aberrant cellular response to fluid shear stress"	5	0	0	1	1	
aberrant cellular response to nitrogen starvation	"aberrant cellular response to nitrogen starvation"	5	0	0	1	1	
aberrant cellular response to starvation	"aberrant cellular response to starvation"	0	0	NaN	1	1	
aberrant cellular response to stress	"aberrant cellular response to stress"	12	0	0	1	1	
aberrant centromere complex assembly	"aberrant centromere complex assembly"	2	0	0	1	1	
aberrant centrosome localization	"aberrant centrosome localization"	3	0	0	1	1	
aberrant centrosome organization	"aberrant centrosome organization"	5	0	0	1	1	
aberrant chemotaxis to cAMP	"aberrant chemotaxis to cAMP"	33	0	0	1	1	
aberrant chemotaxis to folate	"aberrant chemotaxis to folate"	6	0	0	1	1	
aberrant chromatin assembly	"aberrant chromatin assembly"	0	0	NaN	1	1	
aberrant contractile vacuole discharge	"aberrant contractile vacuole discharge"	3	0	0	1	1	
aberrant contractile vacuole localization	"aberrant contractile vacuole localization"	2	0	0	1	1	
aberrant contractile vacuole morphology	"aberrant contractile vacuole morphology"	8	0	0	1	1	
aberrant contractile vacuole organization	"aberrant contractile vacuole organization"	10	0	0	1	1	
aberrant cyclic nucleotide binding	"aberrant cyclic nucleotide binding"	1	0	0	1	1	
aberrant cytokinesis	"aberrant cytokinesis"	104	2	1.92	0.188715899382677	1	8616748,8620948
aberrant cytoskeleton organization	"aberrant cytoskeleton organization"	10	0	0	1	1	
aberrant development of tipped mound	"aberrant development of tipped mound"	6	0	0	1	1	
aberrant double-strand break repair via homologous recombination	"aberrant double-strand break repair via homologous recombination"	1	0	0	1	1	
aberrant endocytosis	"aberrant endocytosis"	2	0	0	1	1	
aberrant endoplasmic reticulum membrane organization	"aberrant endoplasmic reticulum membrane organization"	1	0	0	1	1	
aberrant endoplasmic reticulum organization	"aberrant endoplasmic reticulum organization"	1	0	0	1	1	
aberrant endosomal transport	"aberrant endosomal transport"	1	0	0	1	1	
aberrant endosome morphology	"aberrant endosome morphology"	4	0	0	1	1	
aberrant engulfment during phagocytosis	"aberrant engulfment during phagocytosis"	2	0	0	1	1	
aberrant epithelium-like organization	"aberrant epithelium-like organization"	1	0	0	1	1	
aberrant establishment or maintenance of cell polarity	"aberrant establishment or maintenance of cell polarity"	3	0	0	1	1	
aberrant exocytosis	"aberrant exocytosis"	1	0	0	1	1	
aberrant filopodium formation	"aberrant filopodium formation"	6	0	0	1	1	
aberrant gene expression	"aberrant gene expression"	22	1	4.55	0.155675811005353	1	8618789
aberrant glycogen metabolism	"aberrant glycogen metabolism"	1	0	0	1	1	
aberrant hyperosmotic response	"aberrant hyperosmotic response"	13	0	0	1	1	
aberrant hypotonic response	"aberrant hypotonic response"	16	0	0	1	1	
aberrant inositol phosphate metabolic process	"aberrant inositol phosphate metabolic process"	4	0	0	1	1	
aberrant intermediate filament bundle assembly	"aberrant intermediate filament bundle assembly"	0	0	NaN	1	1	
aberrant intermediate filament organization	"aberrant intermediate filament organization"	0	0	NaN	1	1	
aberrant intracellular distribution of mitochondria	"aberrant intracellular distribution of mitochondria"	2	0	0	1	1	
aberrant lipid droplet formation	"aberrant lipid droplet formation"	0	0	NaN	1	1	
aberrant lipid storage	"aberrant lipid storage"	1	0	0	1	1	
aberrant localization to coated pits	"aberrant localization to coated pits"	1	0	0	1	1	
aberrant localization	"aberrant localization"	2	0	0	1	1	
aberrant lysosome organization	"aberrant lysosome organization"	2	0	0	1	1	
aberrant macroautophagy	"aberrant macroautophagy"	4	0	0	1	1	
aberrant macrocyst formation	"aberrant macrocyst formation"	3	0	0	1	1	
aberrant macromolecule biosynthesis	"aberrant macromolecule biosynthesis"	1	0	0	1	1	
aberrant macropinocytosis	"aberrant macropinocytosis"	11	0	0	1	1	
aberrant mitochondrion morphology	"aberrant mitochondrion morphology"	5	0	0	1	1	
aberrant mitochondrion organization	"aberrant mitochondrion organization"	3	0	0	1	1	
aberrant mitosis	"aberrant mitosis"	3	0	0	1	1	
aberrant mitotic actomyosin contractile ring contraction	"aberrant mitotic actomyosin contractile ring contraction"	3	0	0	1	1	
aberrant mitotic anaphase	"aberrant mitotic anaphase"	1	0	0	1	1	
aberrant mitotic sister chromatid segregation	"aberrant mitotic sister chromatid segregation"	2	0	0	1	1	
aberrant mitotic spindle elongation	"aberrant mitotic spindle elongation"	1	0	0	1	1	
aberrant mitotic spindle organization	"aberrant mitotic spindle organization"	7	0	0	1	1	
aberrant molecular function	"aberrant molecular function"	1	0	0	1	1	
aberrant mound color	"aberrant mound color"	2	0	0	1	1	
aberrant mound size	"aberrant mound size"	1	0	0	1	1	
aberrant myosin II filament organization	"aberrant myosin II filament organization"	5	0	0	1	1	
aberrant negative chemotaxis	"aberrant negative chemotaxis"	2	0	0	1	1	
aberrant nuclear envelope morphology	"aberrant nuclear envelope morphology"	1	0	0	1	1	
aberrant nuclear membrane organization	"aberrant nuclear membrane organization"	1	0	0	1	1	
aberrant nucleus morphology	"aberrant nucleus morphology"	5	0	0	1	1	
aberrant nucleus organization	"aberrant nucleus organization"	1	0	0	1	1	
aberrant organelle organization	"aberrant organelle organization"	0	0	NaN	1	1	
aberrant osmosensory signaling pathway	"aberrant osmosensory signaling pathway"	1	0	0	1	1	
aberrant phagolysosome formation	"aberrant phagolysosome formation"	1	0	0	1	1	
aberrant phagosome maturation	"aberrant phagosome maturation"	16	0	0	1	1	
aberrant phosphatidylinositol metabolism	"aberrant phosphatidylinositol metabolism"	1	0	0	1	1	
aberrant phototaxis	"aberrant phototaxis"	14	0	0	1	1	
aberrant pinocytosis	"aberrant pinocytosis"	1	0	0	1	1	
aberrant pinosome maturation	"aberrant pinosome maturation"	2	0	0	1	1	
aberrant plasma membrane organization	"aberrant plasma membrane organization"	1	0	0	1	1	
aberrant pore formation during contractile vacuole discharge	"aberrant pore formation during contractile vacuole discharge"	1	0	0	1	1	
aberrant positive regulation of chemorepellant activity	"aberrant positive regulation of chemorepellant activity"	5	0	0	1	1	
aberrant positive regulation of mitochondrial membrane potential	"aberrant positive regulation of mitochondrial membrane potential"	1	0	0	1	1	
aberrant post-lysosomal vacuole exocytosis	"aberrant post-lysosomal vacuole exocytosis"	1	0	0	1	1	
aberrant prespore cell differentiation	"aberrant prespore cell differentiation"	4	0	0	1	1	
aberrant prespore gene expression	"aberrant prespore gene expression"	6	0	0	1	1	
aberrant prestalk A cell differentiation	"aberrant prestalk A cell differentiation"	1	0	0	1	1	
aberrant prestalk B cell differentiation	"aberrant prestalk B cell differentiation"	1	0	0	1	1	
aberrant prestalk O cell differentiation	"aberrant prestalk O cell differentiation"	2	0	0	1	1	
aberrant prestalk cell differentiation	"aberrant prestalk cell differentiation"	7	0	0	1	1	
aberrant prestalk gene expression	"aberrant prestalk gene expression"	8	0	0	1	1	
aberrant production of siRNA involved in RNA interference	"aberrant production of siRNA involved in RNA interference"	4	0	0	1	1	
aberrant protein level	"aberrant protein level"	3	0	0	1	1	
aberrant protein localization to autophagosome	"aberrant protein localization to autophagosome"	1	0	0	1	1	
aberrant protein localization to basolateral plasma membrane	"aberrant protein localization to basolateral plasma membrane"	1	0	0	1	1	
aberrant protein localization to cell cortex	"aberrant protein localization to cell cortex"	3	0	0	1	1	
aberrant protein localization to cell surface	"aberrant protein localization to cell surface"	1	0	0	1	1	
aberrant protein localization to clathrin-coated pit	"aberrant protein localization to clathrin-coated pit"	1	0	0	1	1	
aberrant protein localization to contractile vacuole	"aberrant protein localization to contractile vacuole"	2	0	0	1	1	
aberrant protein localization to cytoplasm	"aberrant protein localization to cytoplasm"	3	0	0	1	1	
aberrant protein localization to cytoplasmic vesicle	"aberrant protein localization to cytoplasmic vesicle"	1	0	0	1	1	
aberrant protein localization to lysosomal membrane	"aberrant protein localization to lysosomal membrane"	0	0	NaN	1	1	
aberrant protein localization to mitotic spindle	"aberrant protein localization to mitotic spindle"	2	0	0	1	1	
aberrant protein localization to nuclear envelope	"aberrant protein localization to nuclear envelope"	1	0	0	1	1	
aberrant protein localization to nucleus	"aberrant protein localization to nucleus"	6	0	0	1	1	
aberrant protein localization to plasma membrane	"aberrant protein localization to plasma membrane"	12	0	0	1	1	
aberrant protein localization to post-lysosomal vacuole	"aberrant protein localization to post-lysosomal vacuole"	1	0	0	1	1	
aberrant protein localization to pseudopodium	"aberrant protein localization to pseudopodium"	1	0	0	1	1	
aberrant protein localization to trailing edge	"aberrant protein localization to trailing edge"	1	0	0	1	1	
aberrant protein modification	"aberrant protein modification"	6	0	0	1	1	
aberrant protein phosphorylation	"aberrant protein phosphorylation"	2	0	0	1	1	
aberrant protein secretion	"aberrant protein secretion"	1	0	0	1	1	
aberrant protein tyrosine phosphorylation	"aberrant protein tyrosine phosphorylation"	1	0	0	1	1	
aberrant regulation of GTPase activity	"aberrant regulation of GTPase activity"	10	0	0	1	1	
aberrant regulation of catalytic activity	"aberrant regulation of catalytic activity"	1	0	0	1	1	
aberrant regulation of fruiting body formation	"aberrant regulation of fruiting body formation"	1	0	0	1	1	
aberrant regulation of intracellular pH	"aberrant regulation of intracellular pH"	1	0	0	1	1	
aberrant regulation of mitochondrial membrane potential	"aberrant regulation of mitochondrial membrane potential"	1	0	0	1	1	
aberrant regulation of protein kinase activity	"aberrant regulation of protein kinase activity"	8	0	0	1	1	
aberrant regulation of protein modification	"aberrant regulation of protein modification"	1	0	0	1	1	
aberrant response to UV	"aberrant response to UV"	4	0	0	1	1	
aberrant response to abiotic stimulus	"aberrant response to abiotic stimulus"	4	0	0	1	1	
aberrant response to biotic stimulus	"aberrant response to biotic stimulus"	1	0	0	1	1	
aberrant response to bleomycin	"aberrant response to bleomycin"	1	0	0	1	1	
aberrant response to cAMP	"aberrant response to cAMP"	4	0	0	1	1	
aberrant response to cation stress	"aberrant response to cation stress"	3	0	0	1	1	
aberrant response to chemical	"aberrant response to chemical"	4	0	0	1	1	
aberrant response to cisplatin	"aberrant response to cisplatin"	0	0	NaN	1	1	
aberrant response to lithium	"aberrant response to lithium"	2	0	0	1	1	
aberrant response to nutrient	"aberrant response to nutrient"	2	0	0	1	1	
aberrant response to osmotic stress	"aberrant response to osmotic stress"	6	0	0	1	1	
aberrant response to oxidative stress	"aberrant response to oxidative stress"	7	0	0	1	1	
aberrant response to stimulus	"aberrant response to stimulus"	1	0	0	1	1	
aberrant secretion	"aberrant secretion"	1	0	0	1	1	
aberrant socially cooperative development	"aberrant socially cooperative development"	3	0	0	1	1	
aberrant sorus color	"aberrant sorus color"	9	0	0	1	1	
aberrant sorus morphology	"aberrant sorus morphology"	7	0	0	1	1	
aberrant spore coat morphology	"aberrant spore coat morphology"	12	0	0	1	1	
aberrant spore germination	"aberrant spore germination"	3	0	0	1	1	
aberrant sporulation	"aberrant sporulation"	7	0	0	1	1	
aberrant stalk cell differentiation	"aberrant stalk cell differentiation"	3	0	0	1	1	
aberrant stalk development	"aberrant stalk development"	5	0	0	1	1	
aberrant stream morphology	"aberrant stream morphology"	73	1	1.37	0.430909231597437	1	8621724
aberrant substrate adhesion-dependent cell spreading	"aberrant substrate adhesion-dependent cell spreading"	0	0	NaN	1	1	
aberrant thermotaxis	"aberrant thermotaxis"	5	0	0	1	1	
aberrant transport	"aberrant transport"	1	0	0	1	1	
aberrant upper cup formation	"aberrant upper cup formation"	1	0	0	1	1	
aberrant vacuole organization	"aberrant vacuole organization"	7	0	0	1	1	
abolished 3' 5'-cyclic-AMP phosphodiesterase activity	"abolished 3' 5'-cyclic-AMP phosphodiesterase activity"	1	0	0	1	1	
abolished C-terminal protein methylation	"abolished C-terminal protein methylation"	1	0	0	1	1	
abolished DIF-1 biosynthesis	"abolished DIF-1 biosynthesis"	3	0	0	1	1	
abolished MPBD level	"abolished MPBD level"	1	0	0	1	1	
abolished actin filament depolymerization	"abolished actin filament depolymerization"	1	0	0	1	1	
abolished activation of GTPase activity	"abolished activation of GTPase activity"	7	0	0	1	1	
abolished adenylate cyclase activity	"abolished adenylate cyclase activity"	3	0	0	1	1	
abolished autophagic cell death	"abolished autophagic cell death"	5	0	0	1	1	
abolished autophagosome organization	"abolished autophagosome organization"	6	0	0	1	1	
abolished basal disc formation	"abolished basal disc formation"	1	0	0	1	1	
abolished bleb assembly	"abolished bleb assembly"	2	0	0	1	1	
abolished cAMP binding	"abolished cAMP binding"	1	0	0	1	1	
abolished cGMP-mediated signaling	"abolished cGMP-mediated signaling"	1	0	0	1	1	
abolished calcium-independent cell-cell adhesion	"abolished calcium-independent cell-cell adhesion"	1	0	0	1	1	
abolished catalase activity	"abolished catalase activity"	1	0	0	1	1	
abolished catalytic activity	"abolished catalytic activity"	15	0	0	1	1	
abolished cell motility in response to calcium ion	"abolished cell motility in response to calcium ion"	1	0	0	1	1	
abolished cell motility	"abolished cell motility"	5	0	0	1	1	
abolished cell-substrate adhesion	"abolished cell-substrate adhesion"	2	0	0	1	1	
abolished cellulose binding	"abolished cellulose binding"	2	0	0	1	1	
abolished cellulose biosynthesis	"abolished cellulose biosynthesis"	5	0	0	1	1	
abolished chemorepellant activity	"abolished chemorepellant activity"	1	0	0	1	1	
abolished contractile vacuole discharge	"abolished contractile vacuole discharge"	1	0	0	1	1	
abolished contractile vacuole dissociation from plasma membrane	"abolished contractile vacuole dissociation from plasma membrane"	1	0	0	1	1	
abolished culmination	"abolished culmination"	57	1	1.75	0.355716415611679	1	8621440
abolished cytokinesis	"abolished cytokinesis"	9	0	0	1	1	
abolished defense response to Gram-negative  bacterium	"abolished defense response to Gram-negative  bacterium"	1	0	0	1	1	
abolished defense response to bacterium	"abolished defense response to bacterium"	2	0	0	1	1	
abolished development of tipped mound	"abolished development of tipped mound"	2	0	0	1	1	
abolished endocytic recycling	"abolished endocytic recycling"	1	0	0	1	1	
abolished epithelium-like organization	"abolished epithelium-like organization"	0	0	NaN	1	1	
abolished exocytosis	"abolished exocytosis"	0	0	NaN	1	1	
abolished filopodium formation	"abolished filopodium formation"	3	0	0	1	1	
abolished guanyl-nucleotide exchange factor activity	"abolished guanyl-nucleotide exchange factor activity"	1	0	0	1	1	
abolished guanylyl cyclase activity	"abolished guanylyl cyclase activity"	1	0	0	1	1	
abolished histone H3-K4 methylation	"abolished histone H3-K4 methylation"	1	0	0	1	1	
abolished histone H3-K79 methylation	"abolished histone H3-K79 methylation"	1	0	0	1	1	
abolished hypotonic response	"abolished hypotonic response"	3	0	0	1	1	
abolished iron ion transport	"abolished iron ion transport"	1	0	0	1	1	
abolished lipid droplet formation	"abolished lipid droplet formation"	1	0	0	1	1	
abolished lower cup formation	"abolished lower cup formation"	1	0	0	1	1	
abolished macroautophagy	"abolished macroautophagy"	1	0	0	1	1	
abolished macropinocytosis	"abolished macropinocytosis"	2	0	0	1	1	
abolished mating type determination	"abolished mating type determination"	0	0	NaN	1	1	
abolished negative chemotaxis	"abolished negative chemotaxis"	2	0	0	1	1	
abolished negative regulation of vegetative growth	"abolished negative regulation of vegetative growth"	4	0	0	1	1	
abolished outer basal disc formation	"abolished outer basal disc formation"	2	0	0	1	1	
abolished peptidyl-proline hydroxylation	"abolished peptidyl-proline hydroxylation"	1	0	0	1	1	
abolished phagosome acidification	"abolished phagosome acidification"	1	0	0	1	1	
abolished phagosome reneutralization	"abolished phagosome reneutralization"	0	0	NaN	1	1	
abolished phosphatidylinositol binding	"abolished phosphatidylinositol binding"	1	0	0	1	1	
abolished phosphatidylinositol-4 5-bisphosphate binding	"abolished phosphatidylinositol-4 5-bisphosphate binding"	1	0	0	1	1	
abolished phototaxis	"abolished phototaxis"	5	0	0	1	1	
